year,month,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
2020,3,6750,269239,0,257236.324,246557.25,257109,268731.55,12002.676,507.45000000000005,12130,22681.75,0.954,0.047392224619023364,0.001888315761313146,0.04717843406521319,0.09199384831613519,1.7781742222222223,0.07517777777777779,1.797037037037037,3.3602592592592586,0.786
2020,4,61824,321879,0,238123.486,227530.5,238248,248678.6,83755.514,73200.40000000001,83631,94348.5,1,0.3527332527577594,0.2943574567861449,0.35102498296634876,0.4146630996416826,1.354741103778468,1.1840126811594203,1.3527270962732918,1.526082104037267,1
2020,5,35186,280152,0,236330.366,226051.3,236179,246805.19999999998,43821.634,33346.8,43973,54100.7,1,0.18630297313576277,0.13511385311576038,0.18618505532162616,0.23932930401676775,1.2454281248223726,0.9477292104814414,1.2497300062524868,1.5375632353777071,0.908
2020,6,15767,249993,0,224856.823,214756.85,224772,234669.85,25136.177,15323.15,25221,35236.149999999994,1,0.11262139031693244,0.06529662869905391,0.11220703666174349,0.16407462735747427,1.594226993086827,0.9718494323587239,1.5996067736411492,2.234803703938606,0.942
2020,7,28174,278409,0,230079.686,219464.6,230315,239633.9,48329.314,38775.1,48094,58944.399999999994,1,0.21092510880590062,0.16180974717907723,0.20881835748973598,0.26858274410025157,1.7153870234968411,1.3762724497763899,1.7070348548306948,2.092155888407752,1
2020,8,26940,276731,0,229094.747,219423.4,228955.5,239122.3,47636.253,37608.7,47775.5,57307.6,1,0.20878547478745826,0.15727809995609704,0.20866718670077086,0.26117360654510136,1.7682350779510023,1.3960170749814402,1.7734038604305864,2.127230883444692,0.999
2020,9,16806,256732,0,224828.26,214861.5,224592,234665.35,31903.74,22066.65,32140,41870.5,1,0.1427273576808116,0.09403454818284987,0.14310394069866633,0.19487204855463702,1.8983541592288469,1.313022134951803,1.9124122337260503,2.491401880280852,0.992
2020,10,22030,273443,0,238980.152,228416.55000000002,238804,249505.4,34462.848,23937.6,34639,45026.45,1,0.14506508417272654,0.09594020816123686,0.14505201207045132,0.19712431314674253,1.56435987290059,1.0865910122560145,1.5723558783477076,2.0438697231048564,0.975
2020,11,47938,302090,0,237687.053,227195.1,237528,248848.05,64402.947,53241.950000000004,64562,74894.9,1,0.2719513564766811,0.2139536797772399,0.2718079617872716,0.32965016706289196,1.3434633693520797,1.1106418707497183,1.3467812591263715,1.5623284242146103,0.991
2020,12,89397,366568,0,258007.848,246643.4,257859.5,270069.5,108560.152,96498.5,108708.5,119924.6,1,0.42186697297798387,0.35730988480035353,0.42158036662750814,0.48622668837636684,1.2143601239415194,1.0794377887401143,1.2160195532288556,1.341483494971867,0.996
