stateFIPS,state,census_region,census_division,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
01,Alabama,South,East South Central,19193,165971,0,138145.913,134979.6,138082,141256.9,27825.087,24714.1,27889,30991.399999999998,1,0.20181783513691315,0.17495853491205726,0.20197419233886016,0.22960062232148734,1.4497518366070963,1.2876621684989318,1.4530818527588183,1.614724118168082,1
02,Alaska,West,Pacific,1254,14291,0,11477.023,11184.7,11468,11798.2,2813.977,2492.8,2823,3106.3,1,0.24573610322640677,0.21128647055950306,0.2461632368329264,0.2777276183137102,2.244000797448166,1.9878787878787878,2.251196172248804,2.477113237639553,1
04,Arizona,West,Mountain,25015,196138,0,153465.43,149937.6,153539.5,156983.90000000002,42672.57,39154.1,42598.5,46200.4,1,0.27848812866295986,0.2494147527378158,0.27744326412421416,0.3081308501263973,1.7058792724365381,1.5652248650809513,1.7029182490505697,1.8469078552868279,1
05,Arkansas,South,West South Central,10097,97633,0,82558.759,80668,82567,84460.4,15074.241,13172.6,15066,16965,1,0.1829854160406929,0.15596184744220631,0.1824700051662977,0.21030644288993594,1.4929425571952064,1.3046053283153412,1.4921263741705457,1.6802020402099633,0.999
06,California,West,Pacific,90558,813061,0,676905.049,661312.7000000001,676812.5,693022.2000000001,136155.951,120038.79999999999,136248.5,151748.3,1,0.20153974112063194,0.1732106129843177,0.20130907931880604,0.22946527414565893,1.5035220632081097,1.3255460588793921,1.5045440491176925,1.6757028644625545,1
08,Colorado,West,Mountain,11440,119183,0,100549.533,98167.90000000001,100538.5,102930.3,18633.467,16252.7,18644.5,21015.100000000002,1,0.18572458358806415,0.15790005635935664,0.18544637155447596,0.21407303203097006,1.6287995629370629,1.4206905594405592,1.629763986013986,1.8369842657342657,1
09,Connecticut,Northeast,New England,10093,89652,0,79473.957,77578.9,79525.5,81382,10178.043,8270,10126.5,12073.1,1,0.12846173864111143,0.10161952274458726,0.1273365168864501,0.15562350073719355,1.008425938769444,0.8193797681561479,1.003319132071733,1.1961854750817398,0.512
10,Delaware,South,South Atlantic,2659,28277,0,24279.369,23693.6,24265,24892.100000000002,3997.631,3384.8999999999996,4012,4583.4000000000005,1,0.16508608666957125,0.13598290237091823,0.16534102616937976,0.19344464634088854,1.5034339977435125,1.2729973674313653,1.5088379089883415,1.7237307258367807,0.997
11,District of Columbia,South,South Atlantic,1475,14672,0,12249.78,11921.800000000001,12242,12587.1,2422.22,2084.9,2430,2750.2,1,0.19826325449426707,0.16563783622391082,0.19849697761803628,0.2306866443966318,1.6421830508474575,1.4134915254237288,1.647457627118644,1.864542372881356,1
12,Florida,South,South Atlantic,64224,626010,0,539063.396,526616.7000000001,538971.5,551353.5,86946.604,74656.5,87038.5,99393.3,1,0.16167468864260204,0.13540587180257121,0.16148999134650827,0.18873936312828204,1.3538023791728948,1.162439275037369,1.3552332461385153,1.5476036995515694,0.988
13,Georgia,South,South Atlantic,30240,268532,0,219133.949,214041.90000000002,219051.5,224094.5,49398.051,44437.5,49480.5,54490.1,1,0.2258271904116725,0.19829803949686933,0.2258852375506479,0.2545767918928755,1.6335334325396826,1.4694940476190477,1.6362599206349207,1.8019212962962963,1
15,Hawaii,West,Pacific,1418,31600,0,28763.997,28062.9,28761.5,29508.3,2836.003,2091.7000000000003,2838.5,3537.1000000000004,1,0.09901229667595754,0.07088514178699903,0.09869095873129059,0.126041856102235,2.000002115655853,1.4751057827926657,2.001763046544429,2.494428772919605,0.995
16,Idaho,West,Mountain,4459,43774,0,38842.761,37865.7,38856,39779.5,4931.239,3994.5,4918,5908.3,1,0.12737177553309392,0.10041604500396563,0.12656989986085704,0.15603303318651768,1.105906929804889,0.8958286611347837,1.1029378784480826,1.3250280331912987,0.732
17,Illinois,North Central,East North Central,33316,320135,0,272227.662,265869,272238.5,278486.7,47907.338,41648.3,47896.5,54266,1,0.17636967031289616,0.14955220521252977,0.17593580676746695,0.20410804062244056,1.4379678832993157,1.2500990515067836,1.4376425741385521,1.628826990034818,0.998
18,Indiana,North Central,East North Central,20942,194819,0,167301.937,163283.7,167231,171213.3,27517.063,23605.699999999997,27588,31535.3,1,0.1648695667907961,0.1378730545539862,0.16496941373229196,0.1931319544519644,1.3139653805749212,1.127194155286028,1.3173526883774234,1.5058399388788082,0.983
19,Iowa,North Central,West North Central,8785,87324,0,77460.229,75578.2,77470.5,79265.4,9863.771,8058.6,9853.5,11745.8,1,0.1277275056559866,0.1016660487427422,0.1271903499220669,0.1554125407599583,1.1227969265793967,0.9173136027319294,1.1216277746158225,1.3370290267501421,0.766
20,Kansas,North Central,West North Central,8673,80294,0,68925.443,67345.9,68932.5,70532,11368.557,9762,11361.5,12948.1,1,0.16534411007663796,0.13840526285941132,0.16482065795124937,0.19226263219577347,1.3107986855759253,1.1255620892424767,1.3099850109535338,1.4929205580537301,0.98
21,Kentucky,South,East South Central,15022,145722,0,123466.224,120663.6,123452,126348.9,22255.776,19373.100000000002,22270,25058.4,1,0.18066199720541568,0.15333018879295285,0.18039400308230372,0.20767157764701022,1.481545466648915,1.2896485155105843,1.48249234456131,1.6681134336306749,0.999
22,Louisiana,South,West South Central,14931,141506,0,113561.054,110996.70000000001,113542,116168.3,27944.946,25337.699999999997,27964,30509.3,1,0.2464905679004744,0.21811199792450509,0.24628771770715494,0.27486673184619687,1.8716057866184448,1.6969861362266425,1.8728819235148348,2.043352756010984,1
23,Maine,Northeast,New England,2381,41695,0,38081.658,37136.3,38096.5,38977,3613.342,2718,3598.5,4558.7,1,0.09528797646651213,0.06973343887309302,0.09445749628396675,0.12275590549810614,1.5175732885342292,1.141537169256615,1.511339773204536,1.9146157076858463,0.957
24,Maryland,South,South Atlantic,13848,147007,0,127580.999,124580.9,127606.5,130536.3,19426.001,16470.7,19400.5,22426.1,1,0.1526557800796782,0.12617716945701474,0.1520337977671877,0.18001234539847177,1.402801920854997,1.1893919699595608,1.4009604274985556,1.6194468515309068,0.991
25,Massachusetts,Northeast,New England,16706,163021,0,150316.8,146908.9,150367,153736.1,12704.2,9284.9,12654,16112.100000000002,1,0.08488277648403804,0.06039505409015512,0.08415410468761048,0.10967409258276446,0.7604573207230935,0.5557823536453969,0.7574524123069556,0.9644498982401533,0.073
26,Michigan,North Central,East North Central,29844,290974,0,249206.893,243601.19999999998,249129,254931.80000000002,41767.107,36042.200000000004,41845,47372.8,1,0.16798948842941042,0.14137977345528363,0.16796519089384918,0.1944686649449631,1.3995143747486931,1.2076866371800028,1.4021243801099048,1.587347540544163,0.996
27,Minnesota,North Central,West North Central,11446,129543,0,114461.257,111825.3,114427.5,117117.7,15081.743,12425.3,15115.5,17717.7,1,0.13214675157794914,0.106092418495644,0.13209674250047754,0.15844088990315391,1.3176431067621877,1.08555827363271,1.3205923466713263,1.547938144329897,0.954
28,Mississippi,South,East South Central,11570,101053,0,81035.273,79162.3,81035.5,82954.3,20017.727,18098.7,20017.5,21890.7,1,0.24745042818296842,0.21817675784533824,0.24702136722605705,0.276529363339564,1.7301406222990492,1.564278305963699,1.7301210025929126,1.8920224719101124,1
29,Missouri,North Central,West North Central,18570,184584,0,157523.291,153972.90000000002,157487.5,161150.1,27060.709,23433.9,27096.5,30611.1,1,0.17217469203003852,0.1454166027659884,0.17205492595097857,0.19880836173573876,1.4572271943995692,1.2619224555735058,1.459154550350027,1.648416801292407,0.999
30,Montana,West,Mountain,3098,30662,0,26926.82,26242.8,26927.5,27603.3,3735.18,3058.7,3734.5,4419.2,1,0.13913793213365583,0.110809216021023,0.13868721606431295,0.16839666560081618,1.2056746287927695,0.9873143963847644,1.2054551323434475,1.426468689477082,0.884
31,Nebraska,North Central,West North Central,4294,47874,0,43324.902,42297,43309.5,44335.3,4549.098,3538.7,4564.5,5577,1,0.105398614675385,0.07981676836207599,0.1053925826302998,0.13185332293070431,1.0594080111783883,0.8241034000931533,1.062994876571961,1.298789007918025,0.615
32,Nevada,West,Mountain,10299,79960,0,65865.579,64301.4,65832.5,67416.3,14094.421,12543.7,14127.5,15658.6,1,0.21440695710300292,0.18606331130972664,0.2145976532049133,0.2435188046086514,1.3685232546849209,1.2179531993397417,1.3717351199145549,1.5204000388387222,1
33,New Hampshire,Northeast,New England,2371,35371,0,32557.791,31765.1,32553,33334,2813.209,2037,2818,3605.9000000000005,1,0.08679749742373805,0.06110877782444351,0.08656652331208747,0.11351767366093835,1.1865073808519613,0.8591311682834247,1.1885280472374524,1.5208350906790384,0.765
34,New Jersey,Northeast,Middle Atlantic,29092,221253,0,193920.154,189492.7,193860.5,198529.8,27332.846,22723.2,27392.5,31760.3,1,0.141326205596378,0.11445737984637842,0.14130005873705653,0.1676069848269901,0.9395313488244191,0.7810807094733948,0.9415818781795683,1.0917193730235115,0.314
