"Notes"	"Residence 2013 Urbanization"	"Residence 2013 Urbanization Code"	"Residence Census Division"	"Residence Census Division Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Oct., 2021"	"2021/10"	91	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Nov., 2021"	"2021/11"	95	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2021"	"2021"	"Dec., 2021"	"2021/12"	247	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	519	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	178	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	27	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	29	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	57	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	38	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	26	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	33	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	29	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	46	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	40	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 1: New England"	"CENS-D1"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	77	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Mar., 2020"	"2020/03"	2315	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Apr., 2020"	"2020/04"	19029	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"May, 2020"	"2020/05"	4342	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Jun., 2020"	"2020/06"	797	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Jul., 2020"	"2020/07"	309	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Aug., 2020"	"2020/08"	271	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Sep., 2020"	"2020/09"	188	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Oct., 2020"	"2020/10"	317	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Nov., 2020"	"2020/11"	1078	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2020"	"2020"	"Dec., 2020"	"2020/12"	3114	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Jan., 2021"	"2021/01"	3632	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Feb., 2021"	"2021/02"	2670	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Mar., 2021"	"2021/03"	2005	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Apr., 2021"	"2021/04"	1732	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"May, 2021"	"2021/05"	877	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Jun., 2021"	"2021/06"	260	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Jul., 2021"	"2021/07"	153	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Aug., 2021"	"2021/08"	525	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Sep., 2021"	"2021/09"	710	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Oct., 2021"	"2021/10"	720	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Nov., 2021"	"2021/11"	657	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2021"	"2021"	"Dec., 2021"	"2021/12"	1424	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	4014	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	1122	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	248	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	145	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	266	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	244	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	299	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	324	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	243	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	331	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	352	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 2: Middle Atlantic"	"CENS-D2"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	481	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Mar., 2020"	"2020/03"	497	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Apr., 2020"	"2020/04"	4111	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"May, 2020"	"2020/05"	3023	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Jun., 2020"	"2020/06"	1140	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Jul., 2020"	"2020/07"	560	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Aug., 2020"	"2020/08"	477	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Sep., 2020"	"2020/09"	354	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Oct., 2020"	"2020/10"	585	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Nov., 2020"	"2020/11"	2255	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2020"	"2020"	"Dec., 2020"	"2020/12"	3652	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Jan., 2021"	"2021/01"	2393	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Feb., 2021"	"2021/02"	967	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Mar., 2021"	"2021/03"	582	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Apr., 2021"	"2021/04"	941	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"May, 2021"	"2021/05"	867	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Jun., 2021"	"2021/06"	305	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Jul., 2021"	"2021/07"	149	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Aug., 2021"	"2021/08"	595	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Sep., 2021"	"2021/09"	1082	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Oct., 2021"	"2021/10"	1076	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Nov., 2021"	"2021/11"	1170	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2021"	"2021"	"Dec., 2021"	"2021/12"	2535	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	3692	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	1116	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	263	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	109	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	177	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	181	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	249	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	246	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	257	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	215	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	266	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 3: East North Central"	"CENS-D3"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	323	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Mar., 2020"	"2020/03"	21	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Apr., 2020"	"2020/04"	362	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"May, 2020"	"2020/05"	516	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Jun., 2020"	"2020/06"	216	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Jul., 2020"	"2020/07"	120	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Aug., 2020"	"2020/08"	173	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Sep., 2020"	"2020/09"	120	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Oct., 2020"	"2020/10"	194	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Nov., 2020"	"2020/11"	451	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2020"	"2020"	"Dec., 2020"	"2020/12"	591	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Jan., 2021"	"2021/01"	354	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Feb., 2021"	"2021/02"	147	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Mar., 2021"	"2021/03"	87	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Apr., 2021"	"2021/04"	104	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"May, 2021"	"2021/05"	88	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Jun., 2021"	"2021/06"	54	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Jul., 2021"	"2021/07"	62	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Aug., 2021"	"2021/08"	241	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Sep., 2021"	"2021/09"	213	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Oct., 2021"	"2021/10"	213	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Nov., 2021"	"2021/11"	207	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2021"	"2021"	"Dec., 2021"	"2021/12"	401	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2022 (provisional)"	"2022"	"Jan., 2022 (provisional)"	"2022/01"	566	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2022 (provisional)"	"2022"	"Feb., 2022 (provisional)"	"2022/02"	212	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2022 (provisional)"	"2022"	"Mar., 2022 (provisional)"	"2022/03"	57	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2022 (provisional)"	"2022"	"Apr., 2022 (provisional)"	"2022/04"	28	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2022 (provisional)"	"2022"	"May, 2022 (provisional)"	"2022/05"	37	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2022 (provisional)"	"2022"	"Jun., 2022 (provisional)"	"2022/06"	39	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2022 (provisional)"	"2022"	"Jul., 2022 (provisional)"	"2022/07"	39	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2022 (provisional)"	"2022"	"Aug., 2022 (provisional)"	"2022/08"	41	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2022 (provisional)"	"2022"	"Sep., 2022 (provisional)"	"2022/09"	46	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2022 (provisional)"	"2022"	"Oct., 2022 (provisional)"	"2022/10"	47	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2022 (provisional)"	"2022"	"Nov., 2022 (provisional)"	"2022/11"	59	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 4: West North Central"	"CENS-D4"	"2022 (provisional)"	"2022"	"Dec., 2022 (provisional)"	"2022/12"	72	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Jan., 2020"	"2020/01"	0	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Feb., 2020"	"2020/02"	0	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Mar., 2020"	"2020/03"	127	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Apr., 2020"	"2020/04"	1077	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"May, 2020"	"2020/05"	1025	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Jun., 2020"	"2020/06"	707	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Jul., 2020"	"2020/07"	2223	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Aug., 2020"	"2020/08"	1894	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Sep., 2020"	"2020/09"	752	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Oct., 2020"	"2020/10"	546	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Nov., 2020"	"2020/11"	750	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2020"	"2020"	"Dec., 2020"	"2020/12"	1625	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Jan., 2021"	"2021/01"	2391	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Feb., 2021"	"2021/02"	1485	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Mar., 2021"	"2021/03"	804	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Apr., 2021"	"2021/04"	716	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"May, 2021"	"2021/05"	609	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Jun., 2021"	"2021/06"	294	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Jul., 2021"	"2021/07"	708	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Aug., 2021"	"2021/08"	3159	Not Applicable	Not Applicable
	"Large Central Metro"	"1"	"Division 5: South Atlantic"	"CENS-D5"	"2021"	"2021"	"Sep., 2021"	"2021/09"	2637	Not Applicable	Not Applicable
