stateFIPS,state,census_region,census_division,COVIDDeathsUCD,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMeanUCD,ratioLowUCD,ratioMedUCD,ratioUpUCD,probPositiveNCExcessUCD,COVIDDeathsMCD,ratioMeanMCD,ratioLowMCD,ratioMedMCD,ratioUpMCD,probPositiveNCExcessMCD
01,Alabama,South,East South Central,19193,165971,0,138145.913,134979.6,138082,141256.9,27825.087,24714.1,27889,30991.4,1,0.20181783513691315,0.17495853491205726,0.20197419233886016,0.22960062232148737,1.4497518366070965,1.2876621684989318,1.4530818527588183,1.614724118168082,1,20935,1.329118079770719,1.180515882493432,1.3321710054931932,1.480363028421304,0.995
02,Alaska,West,Pacific,1254,14291,0,11477.023,11184.7,11468,11798.2,2813.977,2492.8,2823,3106.3,1,0.24573610322640677,0.21128647055950303,0.2461632368329264,0.2777276183137102,2.244000797448166,1.987878787878788,2.251196172248804,2.477113237639553,1,1427,1.9719530483531884,1.7468815697266993,1.9782761037140857,2.1768044849334265,1
04,Arizona,West,Mountain,25015,196138,0,153465.43,149937.6,153539.5,156983.90000000002,42672.57,39154.1,42598.5,46200.4,1,0.27848812866295986,0.2494147527378158,0.27744326412421416,0.3081308501263973,1.705879272436538,1.5652248650809513,1.7029182490505697,1.846907855286828,1,27666,1.5424192149208416,1.415242535964722,1.5397419214920842,1.669934215282296,1
05,Arkansas,South,West South Central,10097,97633,0,82558.759,80668,82567,84460.4,15074.241,13172.6,15066,16965,1,0.1829854160406929,0.15596184744220631,0.1824700051662977,0.2103064428899359,1.4929425571952064,1.3046053283153412,1.4921263741705455,1.680202040209963,0.999,11600,1.2995035344827586,1.1355689655172414,1.2987931034482758,1.4625,0.99
06,California,West,Pacific,90558,813061,0,676905.049,661312.7000000001,676812.5,693022.2000000001,136155.951,120038.8,136248.5,151748.3,1,0.20153974112063192,0.1732106129843177,0.20130907931880604,0.22946527414565893,1.5035220632081097,1.325546058879392,1.5045440491176925,1.6757028644625545,1,100102,1.3601721344228888,1.199164851851112,1.3610966813849874,1.5159367445205891,0.998
08,Colorado,West,Mountain,11440,119183,0,100549.533,98167.9,100538.5,102930.3,18633.467,16252.7,18644.5,21015.1,1,0.18572458358806415,0.15790005635935664,0.18544637155447596,0.21407303203097008,1.6287995629370629,1.4206905594405592,1.629763986013986,1.8369842657342657,1,13586,1.3715197261887238,1.1962829383188576,1.372331812159576,1.5468202561460327,0.996
09,Connecticut,Northeast,New England,10093,89652,0,79473.957,77578.9,79525.5,81382,10178.043,8270,10126.5,12073.1,1,0.12846173864111143,0.10161952274458726,0.1273365168864501,0.15562350073719355,1.008425938769444,0.8193797681561479,1.003319132071733,1.1961854750817398,0.512,11195,0.9091597141581064,0.7387226440375168,0.9045556051808844,1.0784368021438142,0.245
10,Delaware,South,South Atlantic,2659,28277,0,24279.369,23693.6,24265,24892.1,3997.631,3384.8999999999996,4012,4583.4000000000005,1,0.16508608666957125,0.13598290237091823,0.16534102616937976,0.19344464634088857,1.5034339977435125,1.2729973674313653,1.5088379089883417,1.7237307258367809,0.997,3114,1.2837607578676944,1.086994219653179,1.2883750802825948,1.471868978805395,0.968
11,District of Columbia,South,South Atlantic,1475,14672,0,12249.78,11921.8,12242,12587.1,2422.22,2084.9,2430,2750.2,1,0.19826325449426707,0.16563783622391082,0.19849697761803628,0.2306866443966318,1.6421830508474575,1.4134915254237288,1.647457627118644,1.864542372881356,1,1747,1.3865025758443046,1.1934172867773327,1.3909559244419003,1.5742415569547796,0.999
12,Florida,South,South Atlantic,64224,626010,0,539063.396,526616.7000000001,538971.5,551353.5,86946.604,74656.5,87038.5,99393.3,1,0.16167468864260204,0.1354058718025712,0.1614899913465083,0.18873936312828204,1.3538023791728948,1.162439275037369,1.3552332461385153,1.5476036995515694,0.988,73329,1.185705573511162,1.018103342470237,1.186958774836695,1.3554432761935933,0.919
13,Georgia,South,South Atlantic,30240,268532,0,219133.949,214041.9,219051.5,224094.5,49398.051,44437.5,49480.5,54490.1,1,0.2258271904116725,0.19829803949686933,0.2258852375506479,0.2545767918928755,1.6335334325396826,1.4694940476190477,1.6362599206349209,1.8019212962962965,1,33713,1.4652523062320173,1.318111707649868,1.467697920683416,1.6162934179693291,1
15,Hawaii,West,Pacific,1418,31600,0,28763.997,28062.9,28761.5,29508.3,2836.003,2091.7000000000003,2838.5,3537.1000000000004,1,0.09901229667595754,0.07088514178699903,0.0986909587312906,0.126041856102235,2.000002115655853,1.4751057827926657,2.001763046544429,2.494428772919605,0.995,1679,1.68910244192972,1.2458010720667063,1.6905896366885051,2.1066706372840978,0.982
16,Idaho,West,Mountain,4459,43774,0,38842.761,37865.7,38856,39779.5,4931.239,3994.5,4918,5908.3,1,0.12737177553309392,0.10041604500396564,0.12656989986085704,0.15603303318651768,1.105906929804889,0.8958286611347837,1.1029378784480826,1.3250280331912987,0.732,5126,0.962005267264924,0.7792625829106516,0.9594225516972298,1.1526141240733516,0.393
17,Illinois,North Central,East North Central,33316,320135,0,272227.662,265869,272238.5,278486.7,47907.338,41648.3,47896.5,54266,1,0.17636967031289616,0.14955220521252977,0.17593580676746695,0.20410804062244056,1.4379678832993157,1.2500990515067836,1.437642574138552,1.628826990034818,0.998,37400,1.2809448663101604,1.1135909090909089,1.2806550802139038,1.45096256684492,0.981
18,Indiana,North Central,East North Central,20942,194819,0,167301.937,163283.7,167231,171213.3,27517.063,23605.699999999997,27588,31535.3,1,0.1648695667907961,0.1378730545539862,0.16496941373229196,0.1931319544519644,1.3139653805749212,1.127194155286028,1.3173526883774234,1.5058399388788082,0.983,23929,1.1499462158886706,0.9864891972084082,1.1529106941368212,1.3178695306949726,0.883
19,Iowa,North Central,West North Central,8785,87324,0,77460.229,75578.2,77470.5,79265.4,9863.771,8058.6,9853.5,11745.8,1,0.1277275056559866,0.1016660487427422,0.1271903499220669,0.1554125407599583,1.122796926579397,0.9173136027319294,1.1216277746158223,1.337029026750142,0.766,10140,0.9727584812623274,0.7947337278106509,0.9717455621301776,1.1583629191321498,0.418
20,Kansas,North Central,West North Central,8673,80294,0,68925.443,67345.9,68932.5,70532,11368.557,9762,11361.5,12948.1,1,0.16534411007663796,0.13840526285941132,0.16482065795124937,0.19226263219577347,1.3107986855759253,1.1255620892424767,1.3099850109535338,1.49292055805373,0.98,9697,1.172378776941322,1.0067031040527998,1.1716510260905435,1.3352686397855007,0.908
