year,month,COVIDDeathsUCD,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMeanUCD,ratioLowUCD,ratioMedUCD,ratioUpUCD,probPositiveNCExcessUCD,COVIDDeathsMCD,ratioMeanMCD,ratioLowMCD,ratioMedMCD,ratioUpMCD,probPositiveNCExcessMCD
2020,3,6750,269239,0,257236.324,246557.25,257109,268731.55,12002.676,507.4500000000001,12130,22681.75,0.954,0.04739222461902336,0.00188831576131314,0.04717843406521319,0.0919938483161352,1.7781742222222223,0.07517777777777779,1.797037037037037,3.3602592592592586,0.786,7135,1.682225087596356,0.07112123335669238,1.7000700770847934,3.178941836019621,0.767
2020,4,61824,321879,0,238123.486,227530.5,238248,248678.6,83755.514,73200.40000000001,83631,94348.5,1,0.3527332527577594,0.2943574567861449,0.35102498296634876,0.4146630996416826,1.354741103778468,1.1840126811594205,1.3527270962732918,1.526082104037267,1,65344,1.281762885651322,1.12023139079334,1.2798573702252694,1.443873959353575,0.999
2020,5,35186,280152,0,236330.366,226051.3,236179,246805.2,43821.634,33346.8,43973,54100.7,1,0.18630297313576277,0.13511385311576038,0.18618505532162616,0.23932930401676775,1.2454281248223726,0.9477292104814414,1.2497300062524868,1.5375632353777071,0.908,38229,1.1462929713045071,0.8722906693871145,1.1502524261686156,1.4151743440843338,0.805
2020,6,15767,249993,0,224856.823,214756.85,224772,234669.85,25136.177,15323.15,25221,35236.149999999994,1,0.11262139031693244,0.06529662869905391,0.11220703666174348,0.16407462735747427,1.594226993086827,0.971849432358724,1.5996067736411492,2.234803703938606,0.942,17959,1.3996423520240548,0.8532295784843253,1.4043654991926051,1.962032963973495,0.874
2020,7,28174,278409,0,230079.686,219464.6,230315,239633.9,48329.314,38775.1,48094,58944.399999999994,1,0.21092510880590065,0.16180974717907723,0.208818357489736,0.26858274410025157,1.7153870234968411,1.37627244977639,1.7070348548306948,2.092155888407752,1,31010,1.5585073847146085,1.2504063205417606,1.5509190583682684,1.90081909061593,0.999
2020,8,26940,276731,0,229094.747,219423.4,228955.5,239122.3,47636.253,37608.7,47775.5,57307.6,1,0.20878547478745824,0.15727809995609704,0.2086671867007709,0.26117360654510136,1.7682350779510023,1.3960170749814402,1.7734038604305864,2.127230883444692,0.999,29806,1.5982101925786754,1.261782862510904,1.6028819700731396,1.922686707374354,0.995
2020,9,16806,256732,0,224828.26,214861.5,224592,234665.35,31903.74,22066.65,32140,41870.5,1,0.1427273576808116,0.09403454818284988,0.14310394069866633,0.19487204855463705,1.8983541592288469,1.313022134951803,1.9124122337260503,2.491401880280852,0.992,19099,1.6704403371904288,1.1553824807581548,1.682810618356982,2.192287554322216,0.98
2020,10,22030,273443,0,238980.152,228416.55,238804,249505.4,34462.848,23937.6,34639,45026.45,1,0.14506508417272654,0.09594020816123686,0.14505201207045132,0.19712431314674253,1.56435987290059,1.0865910122560145,1.5723558783477076,2.0438697231048564,0.975,24858,1.3863886072894038,0.9629736905623943,1.3934749376458284,1.811346447823638,0.931
2020,11,47938,302090,0,237687.053,227195.1,237528,248848.05,64402.947,53241.95,64562,74894.9,1,0.2719513564766811,0.2139536797772399,0.2718079617872716,0.32965016706289196,1.3434633693520797,1.1106418707497183,1.3467812591263717,1.5623284242146105,0.991,53138,1.211994184952388,1.0019562271820543,1.214987391320712,1.4094414543264706,0.95
2020,12,89397,366568,0,258007.848,246643.4,257859.5,270069.5,108560.152,96498.5,108708.5,119924.6,1,0.42186697297798387,0.35730988480035353,0.42158036662750814,0.4862266883763669,1.2143601239415194,1.0794377887401143,1.2160195532288556,1.341483494971867,0.996,97934,1.1085031960299794,0.9853421692160026,1.1100179712867848,1.2245451018032554,0.923
