Performance,Base Model,Random Time Model,Random Time Model Plus
RMSE - Training Data (2014-2018),98.44170635055026,98.44140027227421,16.972249530991924
RMSE - Test Data (2019),100.08835852588227,100.22318362519113,34.59363180001529
RMSE - Overall,98.71106271917998,98.84458017775559,34.17699791123401
BIC,205055.96313113553,204700.21569093107,1002579.315517605
AIC,204911.0736269857,204516.68898567458,1002048.0540023888
