Performance,modelBase,modelRandomTime,modelRandomTimePlus
Training Data (2014-2018),17.03666620193268,16.988576396146154,16.972249530991924
Test Data (2019),17.98140616374822,17.955316765160948,17.960673937172274
Overall,17.230576661723333,17.187112612410015,17.175342173148437
