FIPSCode,meanExpDeaths,meanDeaths,meanDifference
13227,346.55542758788897,356.42857142857144,0.027700203160231387
13229,221.84838503597405,239.28571428571428,0.07287242074518306
13231,200.35057505232726,200.14285714285714,0.0010378482271883194
13233,500.91409089979703,521.5714285714286,0.039605961024766004
13235,149.77779356668478,125.85714285714286,0.19006192391236482
13237,249.26689292580178,264.42857142857144,0.05733751999966916
13239,34.320056318659965,36.42857142857143,0.05788080693874611
13241,218.2913797496085,228.71428571428572,0.045571731263423225
13243,137.54256121200265,97,0.41796454857734694
13245,2080.846275659292,2154,0.03396180331509186
13247,746.4653384241873,776.8571428571429,0.03912148419100575
13249,70.5407528400158,41.714285714285715,0.6910454447948993
13251,181.2934204142207,181.14285714285714,8.311852520069909e-4
13253,150.8378681813762,135.71428571428572,0.11143692344171927
13255,773.9424103229119,820.8571428571429,0.05715334628256475
13257,377.44198794961085,384,0.01707815638122175
13259,135.5511685358964,66.14285714285714,1.049369718685259
13261,372.8579431239226,375.85714285714283,0.007979626808263612
13263,128.9265130610049,87.28571428571429,0.47706316109170904
13265,22.061384838162933,27.142857142857142,0.1872121375413656
13267,252.52709477164285,264.7142857142857,0.046039037559902914
13269,136.08799042680738,106,0.28384896629063566
13271,171.08954668130457,161.71428571428572,0.05797422859463951
13273,141.26087630425,120.57142857142857,0.1715949456513625
13275,544.2510879939224,559.2857142857143,0.026881835004481113
13277,447.6591167152707,454.42857142857144,0.014896630931501106
13279,318.4817578359621,345,0.07686447004068948
13281,193.0091931645628,193,4.763297700926461e-5
13283,137.31731021494045,87.71428571428571,0.5655067939814059
13285,722.2430406278927,757.8571428571429,0.04699316034019818
13287,149.65047378905285,124.28571428571429,0.20408427186594244
13289,146.7892010567713,124.42857142857143,0.17970655269506214
13291,325.7173676232411,341,0.04481710374416099
13293,385.57344092041217,410.42857142857144,0.06055896747550119
13295,862.5349262522228,871.4285714285714,0.010205822333514818
13297,894.9376698242545,928.7142857142857,0.03636922184744165
13299,478.3132265029397,501.7142857142857,0.04664220230051884
13301,130.0140190366586,82.57142857142857,0.574564244388599
13303,238.70674328419273,250.57142857142858,0.04735051140858096
13305,356.44142230061084,374.14285714285717,0.047311967886874494
13307,35.11741419808067,26.285714285714285,0.3359885836226341
13309,128.6889736995024,67,0.9207309507388419
13311,304.80897319241404,324.42857142857144,0.060474323052884985
13313,880.6177222971927,913.5714285714286,0.03607129693817842
13315,142.39244945544098,112.71428571428571,0.26330436779225214
13317,162.9837335941518,148.57142857142858,0.09700589919140626
13319,155.146647373407,134.14285714285714,0.15657777594659114
13321,245.67334944536213,252.28571428571428,0.02620982666051246
15001,1791.8264285131231,1771.5714285714287,0.01143335211610847
15003,7814.057201738569,7777.142857142857,0.0047465174902642775
15005,0.8717283801111293,NA,NA
15007,590.5874389650759,569.8571428571429,0.03637805784796463
15009,1189.2858991053993,1178.5714285714287,0.009091065907611415
16001,3229.90104502755,3279.714285714286,0.015188286645489602
16003,52.77429630803488,43.714285714285715,0.20725514430145142
16005,750.8646406950854,757.5714285714286,0.008853010585404846
16007,114.00304683641376,63.285714285714285,0.8014025459478472
16009,156.21604970209458,129.71428571428572,0.20430875320998015
16011,400.26299502525745,409.14285714285717,0.021703573611451813
16013,154.5509177365019,121.28571428571429,0.2742714065435963
16015,118.94164535485893,61.285714285714285,0.9407727680280012
16017,468.0870392404655,472.2857142857143,0.008890116550738457
16019,930.6713146402126,935.4285714285714,0.005085644092625537
16021,144.1061026820212,122.42857142857143,0.1770626823502315
16023,25.717598288497406,32.285714285714285,0.2034372211527352
16025,12.479282468881218,13,0.04005519470144478
16027,1625.1402456604767,1656.2857142857142,0.01880440575958795
16029,126.74246623399125,69.85714285714286,0.8143093325929217
16031,212.22280307723153,208.14285714285714,0.0196016620045441
16033,8.487954656218301,10,0.15120453437816989
16035,138.7633145582477,111.14285714285714,0.24851311299194606
16037,52.71128465350511,49.57142857142857,0.0633400362378553
16039,217.3579028999796,210.14285714285714,0.03433400428270372
16041,146.7152217708404,107.71428571428571,0.36207765569745737
16043,144.82816044004596,117.14285714285714,0.23633795497600216
16045,221.25058877531356,229.28571428571428,0.03504416110455142
16047,166.2579484993669,147.14285714285714,0.1299083878597751
16049,202.43386813958062,198.85714285714286,0.017986405874327833
16051,185.44327717994562,184.71428571428572,0.003946589527934506
16053,179.05372757891374,177.42857142857142,0.009159495211269117
16055,1528.3808438572096,1538.857142857143,0.006807843761560819
16057,222.31510424790554,228.57142857142858,0.027371418915413323
16059,136.7685074370598,113,0.21034077377929036
16061,48.39702801657501,49.42857142857143,0.020869375387210884
16063,109.78656528940193,39.285714285714285,1.7945671164575037
16065,163.8290284484653,161.57142857142858,0.013972766701376635
16067,200.0609913320425,192,0.04198432985438805
16069,515.7679157308238,519.8571428571429,0.007866059325153506
16071,107.946959860041,45.42857142857143,1.376190940315368
16073,151.8181890368705,109,0.39282742235661017
16075,243.3782688306816,246.14285714285714,0.011231641430776977
16077,126.46621450664897,66.42857142857143,0.9037924764441779
16079,191.8307809442652,188.57142857142858,0.0172844444014063
16081,107.6610314044239,48.857142857142854,1.203588362078852
16083,789.0217994638483,811.7142857142857,0.027956248460588085
16085,144.26500903797233,83.71428571428571,0.7233021557436969
16087,153.50619775864624,130,0.18081690583574028
17001,817.1622100909843,822.4285714285714,0.0064034270215580676
17003,129.81627937589982,99,0.3112755492515134
17005,180.7187696442127,182.14285714285714,0.007818519600400845
17007,427.1291634087492,430.57142857142856,0.00799464370894341
17009,122.51632559013565,59.142857142857146,1.0715320751955302
17011,408.50517397479877,414.14285714285717,0.013612894852158955
17013,112.50558736169235,55.714285714285715,1.0193310552098627
17015,190.61681707853785,195.71428571428572,0.026045460182653364
17017,161.1183023327701,145,0.11116070574324206
17019,1361.594824265048,1372.5714285714287,0.00799710971530654
17021,430.1774061395102,438.42857142857144,0.018819862177721972
17023,200.60945024943987,201.71428571428572,0.0054772296415870675
17025,186.82200950993928,175.57142857142858,0.06407979379135464
17027,359.4639475187439,357.85714285714283,0.00449007290666967
17029,520.2154204664981,530.8571428571429,0.020046301597016498
17031,41241.03833693642,42319.28571428572,0.025478865230121613
17033,228.16493245277385,224.85714285714286,0.014710627172437707
17035,149.49275189526972,120.42857142857143,0.24133957682904866
17037,743.5087861819497,757.4285714285714,0.018377687047595605
