FIPSCode,deathsTotal,deathsTotalMonthly,deathsDiffAbs,deathsDiffPct
27165,603,440,52,0.8253968253968254
27167,416,141,69,3.45
27169,2190,2190,0,0
27171,4133,4133,0,0
27173,550,300,79,5.642857142857143
28001,2080,2080,0,0
28003,2388,2388,0,0
28005,828,766,27,0.20300751879699241
28007,1363,1363,0,0
28009,558,309,67,1.8611111111111112
28011,2038,2038,0,0
28013,902,891,6,0.03750000000000009
28015,565,342,56,1.1666666666666665
28017,1013,1004,9,0.045685279187817285
28019,558,342,55,1.3095238095238093
28021,546,313,70,2.121212121212121
28023,1117,1117,0,0
28025,1169,1169,0,0
28027,1481,1481,0,0
28029,1654,1654,0,0
28031,1359,1359,0,0
28033,7074,7074,0,0
28035,3879,3879,0,0
28037,502,235,64,2.782608695652174
28039,1434,1434,0,0
28041,705,574,45,0.5696202531645569
28043,1529,1529,0,0
28045,2577,2577,0,0
28047,10496,10496,0,0
28049,11177,11177,0,0
28051,1112,1112,0,0
28053,512,259,74,3.7
28055,NA,0,NA,NA
28057,1498,1498,0,0
28059,7081,7081,0,0
28061,1003,994,9,0.047368421052631504
28063,442,158,69,3
28065,814,757,24,0.16783216783216792
28067,3971,3971,0,0
28069,535,306,57,1.2954545454545454
28071,1949,1949,0,0
28073,2224,2224,0,0
28075,4370,4370,0,0
28077,823,749,31,0.26956521739130435
28079,1179,1172,7,0.029914529914529808
28081,4611,4611,0,0
28083,1869,1869,0,0
28085,2141,2141,0,0
28087,3243,3243,0,0
28089,5089,5089,0,0
28091,1661,1661,0,0
28093,2100,2100,0,0
28095,2254,2254,0,0
28097,731,624,37,0.4252873563218391
28099,2017,2017,0,0
28101,1324,1316,8,0.03361344537815136
28103,639,467,48,0.5714285714285714
28105,1633,1633,0,0
28107,2002,2002,0,0
28109,3437,3437,0,0
28111,692,555,48,0.5517241379310345
28113,2630,2630,0,0
28115,1533,1533,0,0
28117,1600,1600,0,0
28119,491,184,69,3.833333333333333
28121,5970,5970,0,0
28123,1531,1531,0,0
28125,313,80,55,Inf
28127,1575,1575,0,0
28129,896,859,17,0.09189189189189184
28131,966,946,15,0.09375
28133,1582,1582,0,0
28135,766,676,26,0.1984732824427482
28137,1518,1518,0,0
28139,1380,1380,0,0
28141,1472,1472,0,0
28143,561,331,67,1.8611111111111112
28145,1571,1571,0,0
28147,935,919,16,0.10596026490066235
28149,2677,2677,0,0
28151,2977,2977,0,0
28153,1136,1127,9,0.046391752577319645
28155,697,572,34,0.37777777777777777
28157,646,447,55,0.859375
28159,1169,1169,0,0
28161,939,889,24,0.14906832298136652
28163,1522,1522,0,0
29001,1127,1127,0,0
29003,823,703,35,0.25547445255474455
29005,386,81,67,6.1
29007,1552,1552,0,0
29009,2182,2182,0,0
29011,715,599,53,0.7681159420289856
29013,1048,1032,8,0.04519774011299438
29015,1557,1557,0,0
29017,693,560,50,0.7246376811594204
29019,5623,5623,0,0
29021,4721,4721,0,0
29023,2900,2900,0,0
29025,517,252,71,3.086956521739131
29027,2076,2076,0,0
29029,2517,2517,0,0
29031,4064,4064,0,0
29033,567,305,64,1.2765957446808511
29035,428,146,70,5.833333333333333
29037,4870,4870,0,0
29039,1074,1074,0,0
29041,481,248,75,3.409090909090909
29043,3396,3396,0,0
29045,410,97,74,6.7272727272727275
29047,9076,9076,0,0
29049,1263,1263,0,0
29051,3377,3377,0,0
29053,973,940,9,0.047120418848167533
29055,1564,1564,0,0
29057,546,306,60,1.3333333333333335
29059,1036,1001,9,0.046875
29061,455,159,73,3.3
29063,623,438,48,0.8727272727272728
29065,999,981,9,0.05454545454545445
29067,923,863,18,0.10000000000000009
29069,2220,2220,0,0
29071,5310,5310,0,0
29073,1071,1062,9,0.043689320388349495
29075,456,174,63,5.25
29077,14664,14664,0,0
29079,659,512,62,1.2400000000000002
29081,576,336,61,1.2978723404255321
29083,1522,1522,0,0
29085,765,642,36,0.31304347826086953
29087,293,21,57,Inf
29089,535,292,81,3.24
29091,2606,2606,0,0
29093,778,721,15,0.1171875
29095,31856,31856,0,0
29097,6107,6107,0,0
29099,10537,10537,0,0
29101,2114,2114,0,0
29103,231,0,56,Inf
29105,2206,2206,0,0
29107,1995,1995,0,0
29109,2434,2434,0,0
29111,617,377,68,1.5454545454545454
29113,2514,2514,0,0
29115,864,834,15,0.09554140127388533
29117,922,873,25,0.16891891891891886
29119,1210,1210,0,0
29121,1011,985,9,0.05142857142857138
29123,843,779,35,0.3070175438596492
29125,523,247,69,2.875
29127,1741,1741,0,0
29129,228,0,54,Inf
29131,1451,1451,0,0
29133,888,840,16,0.11428571428571432
29135,763,659,34,0.31775700934579443
29137,526,277,65,1.7567567567567566
29139,856,801,23,0.17557251908396942
29141,1486,1486,0,0
29143,1239,1239,0,0
29145,3309,3309,0,0
29147,977,951,17,0.10429447852760743
29149,739,634,31,0.2421875
29151,667,517,42,0.4285714285714286
29153,638,444,58,0.9666666666666666
29155,1190,1190,0,0
29157,1010,977,9,0.048648648648648596
29159,2302,2302,0,0
29161,2364,2364,0,0
