FIPSCode,meanExpDeaths,meanDeaths,meanDifference
01001,521,636,0.18081761006289307
01003,2247,2686.5,0.16359575656058067
01005,284.5,348.5,0.1836441893830703
01007,242.5,295.5,0.1793570219966159
01009,666.5,786,0.15203562340966922
01011,140.75,136.5,0.031135531135531136
01013,237,282,0.1595744680851064
01015,1386,1700,0.18470588235294116
01017,411,546,0.24725274725274726
01019,321,433.5,0.25951557093425603
01021,475.25,591,0.1958544839255499
01023,167.75,185,0.09324324324324325
01025,279.5,380,0.2644736842105263
01027,179.5,226.5,0.20750551876379691
01029,188.5,225.5,0.164079822616408
01031,533.5,666,0.19894894894894896
01033,718,779.5,0.07889672867222579
01035,159,203.5,0.21867321867321868
01037,141,164,0.1402439024390244
01039,514.5,657,0.21689497716894976
01041,169,225,0.24888888888888888
01043,1054.5,1175.5,0.10293492131008082
01045,500,645.5,0.22540666150271108
01047,469.5,619,0.24151857835218093
01049,770.5,993.5,0.2244589833920483
01051,801.25,968.5,0.17268972638100155
01053,444,586.5,0.24296675191815856
01055,1301.5,1633,0.2030006123698714
01057,212.25,276,0.23097826086956522
01059,350.5,438,0.1997716894977169
01061,348,465,0.25161290322580643
01063,117.5,135,0.12962962962962962
01065,185,239,0.22594142259414227
01067,209.5,249.5,0.16032064128256512
01069,1082.75,1406,0.22990753911806544
01071,673.25,866,0.22257505773672057
01073,6777.75,8123.5,0.16566135286514433
01075,183.75,231,0.20454545454545456
01077,1053.25,1213.5,0.13205603625875567
01079,384.5,522,0.26340996168582376
01081,1141.25,1282.5,0.1101364522417154
01083,860.25,1037,0.17044358727097397
01085,145.5,170,0.14411764705882352
01087,238.5,267.5,0.10841121495327102
01089,3253.75,3624,0.10216611479028698
01091,256.25,315.5,0.187797147385103
01093,386.75,477,0.18920335429769392
01095,1074.5,1325.5,0.1893625047152018
01097,4151.5,5127.5,0.19034617259873232
01099,233.5,328.5,0.289193302891933
01101,1939.75,2578.5,0.24772154353306186
01103,1344.75,1592.5,0.15557299843014127
01105,129,150.5,0.14285714285714285
