stateFIPS,state,census_region,census_division,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
01,Alabama,South,East South Central,20935,165971,0,138145.913,134979.6,138082,141256.9,27825.087,24714.1,27889,30991.399999999998,1,0.20181783513691315,0.17495853491205726,0.20197419233886016,0.22960062232148734,1.329118079770719,1.1805158824934319,1.3321710054931932,1.480363028421304,0.995
02,Alaska,West,Pacific,1427,14291,0,11477.023,11184.7,11468,11798.2,2813.977,2492.8,2823,3106.3,1,0.24573610322640677,0.21128647055950306,0.2461632368329264,0.2777276183137102,1.9719530483531884,1.7468815697266993,1.9782761037140855,2.1768044849334265,1
04,Arizona,West,Mountain,27666,196138,0,153465.43,149937.6,153539.5,156983.90000000002,42672.57,39154.1,42598.5,46200.4,1,0.27848812866295986,0.2494147527378158,0.27744326412421416,0.3081308501263973,1.5424192149208416,1.415242535964722,1.5397419214920842,1.669934215282296,1
05,Arkansas,South,West South Central,11600,97633,0,82558.759,80668,82567,84460.4,15074.241,13172.6,15066,16965,1,0.1829854160406929,0.15596184744220631,0.1824700051662977,0.21030644288993594,1.2995035344827586,1.1355689655172414,1.2987931034482758,1.4625,0.99
06,California,West,Pacific,100102,813061,0,676905.049,661312.7000000001,676812.5,693022.2000000001,136155.951,120038.79999999999,136248.5,151748.3,1,0.20153974112063194,0.1732106129843177,0.20130907931880604,0.22946527414565893,1.3601721344228888,1.199164851851112,1.3610966813849874,1.5159367445205891,0.998
08,Colorado,West,Mountain,13586,119183,0,100549.533,98167.90000000001,100538.5,102930.3,18633.467,16252.7,18644.5,21015.100000000002,1,0.18572458358806415,0.15790005635935664,0.18544637155447596,0.21407303203097006,1.3715197261887238,1.1962829383188576,1.372331812159576,1.5468202561460327,0.996
09,Connecticut,Northeast,New England,11195,89652,0,79473.957,77578.9,79525.5,81382,10178.043,8270,10126.5,12073.1,1,0.12846173864111143,0.10161952274458726,0.1273365168864501,0.15562350073719355,0.9091597141581063,0.7387226440375168,0.9045556051808843,1.0784368021438142,0.245
10,Delaware,South,South Atlantic,3114,28277,0,24279.369,23693.6,24265,24892.100000000002,3997.631,3384.8999999999996,4012,4583.4000000000005,1,0.16508608666957125,0.13598290237091823,0.16534102616937976,0.19344464634088854,1.2837607578676944,1.086994219653179,1.2883750802825948,1.471868978805395,0.968
11,District of Columbia,South,South Atlantic,1747,14672,0,12249.78,11921.800000000001,12242,12587.1,2422.22,2084.9,2430,2750.2,1,0.19826325449426707,0.16563783622391082,0.19849697761803628,0.2306866443966318,1.3865025758443046,1.1934172867773327,1.3909559244419003,1.5742415569547796,0.999
12,Florida,South,South Atlantic,73329,626010,0,539063.396,526616.7000000001,538971.5,551353.5,86946.604,74656.5,87038.5,99393.3,1,0.16167468864260204,0.13540587180257121,0.16148999134650827,0.18873936312828204,1.1857055735111621,1.018103342470237,1.186958774836695,1.3554432761935933,0.919
13,Georgia,South,South Atlantic,33713,268532,0,219133.949,214041.90000000002,219051.5,224094.5,49398.051,44437.5,49480.5,54490.1,1,0.2258271904116725,0.19829803949686933,0.2258852375506479,0.2545767918928755,1.4652523062320173,1.318111707649868,1.467697920683416,1.6162934179693293,1
15,Hawaii,West,Pacific,1679,31600,0,28763.997,28062.9,28761.5,29508.3,2836.003,2091.7000000000003,2838.5,3537.1000000000004,1,0.09901229667595754,0.07088514178699903,0.09869095873129059,0.126041856102235,1.68910244192972,1.2458010720667063,1.6905896366885051,2.1066706372840978,0.982
16,Idaho,West,Mountain,5126,43774,0,38842.761,37865.7,38856,39779.5,4931.239,3994.5,4918,5908.3,1,0.12737177553309392,0.10041604500396563,0.12656989986085704,0.15603303318651768,0.962005267264924,0.7792625829106516,0.9594225516972298,1.1526141240733516,0.393
17,Illinois,North Central,East North Central,37400,320135,0,272227.662,265869,272238.5,278486.7,47907.338,41648.3,47896.5,54266,1,0.17636967031289616,0.14955220521252977,0.17593580676746695,0.20410804062244056,1.2809448663101604,1.1135909090909089,1.2806550802139038,1.45096256684492,0.981
18,Indiana,North Central,East North Central,23929,194819,0,167301.937,163283.7,167231,171213.3,27517.063,23605.699999999997,27588,31535.3,1,0.1648695667907961,0.1378730545539862,0.16496941373229196,0.1931319544519644,1.1499462158886706,0.9864891972084082,1.1529106941368212,1.3178695306949726,0.883
19,Iowa,North Central,West North Central,10140,87324,0,77460.229,75578.2,77470.5,79265.4,9863.771,8058.6,9853.5,11745.8,1,0.1277275056559866,0.1016660487427422,0.1271903499220669,0.1554125407599583,0.9727584812623274,0.7947337278106509,0.9717455621301775,1.1583629191321498,0.418
20,Kansas,North Central,West North Central,9697,80294,0,68925.443,67345.9,68932.5,70532,11368.557,9762,11361.5,12948.1,1,0.16534411007663796,0.13840526285941132,0.16482065795124937,0.19226263219577347,1.172378776941322,1.0067031040527998,1.1716510260905435,1.3352686397855007,0.908
21,Kentucky,South,East South Central,17662,145722,0,123466.224,120663.6,123452,126348.9,22255.776,19373.100000000002,22270,25058.4,1,0.18066199720541568,0.15333018879295285,0.18039400308230372,0.20767157764701022,1.2600937606160119,1.0968803080058884,1.2608991054240744,1.4187747706941458,0.979
