UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,7,2022,9,4055095,2072302,1982793,1460918,1393914,315344,307152,35230,34013,127774,120488,7047,6720,125989,120506,1576600,1504498,382687,372396,59743,57572,175561,165487,16229,15310,1547478,1476263,1021769,970418,282112,274971,17053,16292,120890,113739,4641,4355,101013,96488,1114967,1059386,336648,327840,33083,31680,160931,151339,11427,10653,524824,506530,439149,423496,33232,32181,18177,17721,6884,6749,2406,2365,24976,24018,461633,445112,46039,44556,26660,25892,14630,14148,4802,4657
R,7,2022,10,4062142,2079035,1983107,1472431,1400557,316432,306429,36271,34954,122729,116080,6801,6528,124371,118559,1586628,1509394,383134,370451,60859,58429,169392,160181,15771,15068,1548680,1473090,1028246,973174,283538,274901,17113,16452,115968,109589,4408,4217,99407,94757,1119964,1060593,337421,326693,33135,31748,154985,146392,11019,10488,530355,510017,444185,427383,32894,31528,19158,18502,6761,6491,2393,2311,24964,23802,466664,448801,45713,43758,27724,26681,14407,13789,4752,4580
R,7,2022,11,4106965,2106704,2000261,1501119,1420652,318796,308079,34830,33534,120389,113463,6723,6400,124847,118133,1615827,1529094,385606,371698,59773,57349,167046,157242,15780,14883,1562371,1478510,1040073,979584,287304,277233,17424,16479,113783,107182,4369,4137,99418,93895,1131845,1066182,341181,328425,33633,31930,152622,143592,11009,10325,544333,521751,461046,441068,31492,30846,17406,17055,6606,6281,2354,2263,25429,24238,483982,462912,44425,43273,26140,25419,14424,13650,4771,4558
R,7,2022,12,4192864,2147553,2045311,1539119,1459809,323725,312600,34412,33256,119083,113382,6453,6295,124761,119969,1654052,1570073,390654,377551,59547,57736,165041,157086,15287,14731,1587084,1508663,1060674,1001690,292738,282812,17633,17300,112731,107398,4341,4201,98967,95262,1152256,1089622,346558,334970,33811,33235,150915,143795,10841,10353,560469,536648,478445,458119,30987,29788,16779,15956,6352,5984,2112,2094,25794,24707,501796,480451,44096,42581,25736,24501,14126,13291,4446,4378
R,7,2022,13,4282759,2192733,2090026,1577494,1496591,332804,322296,34708,33368,118122,113312,6508,6464,123097,117995,1690614,1605176,399001,386442,59692,56873,163049,155955,15118,14759,1624002,1546246,1090161,1030803,301729,292214,18223,17636,111706,107284,4404,4390,97779,93919,1180401,1117626,355134,344141,34341,32762,149141,142918,10755,10509,568731,543780,487333,465788,31075,30082,16485,15732,6416,6028,2104,2074,25318,24076,510213,487550,43867,42301,25351,24111,13908,13037,4363,4250
R,7,2022,14,4446185,2277189,2168996,1641586,1555894,345418,334780,36334,34734,123073,117806,6782,6518,123996,119264,1755457,1665389,412027,399922,61391,58843,168286,160596,15703,14774,1685452,1605450,1132727,1072084,313469,304024,19008,18420,116777,111712,4632,4341,98839,94869,1223844,1159505,367511,356813,35259,33907,154564,147374,11196,10436,591737,563546,508859,483810,31949,30756,17326,16314,6296,6094,2150,2177,25157,24395,531613,505884,44516,43109,26132,24936,13722,13222,4507,4338
R,7,2022,15,4437014,2272937,2164077,1645481,1561203,343851,331260,36670,34771,120913,115056,6692,6576,119330,115211,1755086,1666794,407648,393508,61219,58558,164478,156476,15298,14857,1685315,1602679,1139764,1077707,312505,301333,18892,18457,114541,109141,4592,4423,95021,91618,1227420,1161973,364165,351849,34848,33775,150836,143722,10952,10518,587622,561398,505717,483496,31346,29927,17778,16314,6372,5915,2100,2153,24309,23593,527666,504821,43483,41659,26371,24783,13642,12754,4346,4339
R,7,2022,16,4360529,2230838,2129691,1625933,1543223,330758,322558,35571,34051,118644,114852,6528,6309,113404,108698,1730000,1642933,390518,380420,59426,56803,160431,154418,14697,14092,1660437,1583741,1132913,1071589,301174,293815,18678,18143,112603,109275,4462,4299,90607,86620,1216348,1151331,349800,340916,34199,32855,147679,142330,10528,10022,570401,545950,493020,471634,29584,28743,16893,15908,6041,5577,2066,2010,22797,22078,513652,491602,40718,39504,25227,23948,12752,12088,4169,4070
R,7,2022,17,4316456,2207560,2108896,1614017,1531626,324619,314412,34889,33808,119692,118316,6501,6301,107842,104433,1712719,1627042,380709,369258,58199,56192,159734,156596,14299,13814,1651418,1578327,1132418,1072440,295992,286929,18456,17983,113912,112865,4478,4414,86162,83696,1211585,1149140,341571,331733,33631,32551,147596,145162,10267,10047,556142,530569,481599,459186,28627,27483,16433,15825,5780,5451,2023,1887,21680,20737,501134,477902,39138,37525,24568,23641,12138,11434,4032,3767
R,7,2022,18,4340377,2218264,2122113,1628698,1546496,322944,313700,34148,33158,121852,121250,6335,6062,104287,101447,1724161,1639301,376417,366321,57000,55431,160811,158693,13985,13471,1673002,1598910,1155177,1092398,295217,287202,18372,17755,116178,115909,4454,4229,83604,81417,1232002,1167085,338816,330204,33476,32612,149014,147481,10190,9730,545262,523203,473521,454098,27727,26498,15776,15403,5674,5341,1881,1833,20683,20030,492159,472216,37601,36117,23524,22819,11797,11212,3795,3741
