UNIVERSE,MONTH,YEAR,AGE,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
R,8,2022,42,4378327,2202428,2175899,1670639,1600328,294573,319643,30839,28420,152771,170459,7190,6472,46416,50577,1710685,1643875,311446,339611,47845,46523,171238,190185,12409,11916,1724006,1738442,1248147,1216562,272805,296591,15557,15819,148076,165978,5023,4829,34398,38663,1277560,1249570,284453,311037,26821,28436,163497,182721,9147,9203,478422,437457,422492,383766,21768,23052,15282,12601,4695,4481,2167,1643,12018,11914,433125,394305,26993,28574,21024,18087,7741,7464,3262,2713
R,8,2022,43,4197721,2104744,2092977,1599914,1540395,278769,306711,28969,26858,147345,165612,6393,5979,43354,47422,1637321,1581168,294407,325229,44841,43934,164557,184208,11261,10966,1657987,1676056,1204836,1174827,258428,284579,14875,14817,143087,161387,4514,4423,32247,36023,1232393,1205565,269233,297748,25394,26658,157606,177155,8357,8428,446757,416921,395078,365568,20341,22132,14094,12041,4258,4225,1879,1556,11107,11399,404928,375603,25174,27481,19447,17276,6951,7053,2904,2538
R,8,2022,44,4097200,2052641,2044559,1567502,1510858,267568,295291,27953,26503,142085,160831,6147,5624,41386,45452,1603049,1549811,282335,312797,43318,43244,158611,178667,10580,10354,1612352,1631716,1177022,1148082,248035,273961,14285,14545,137929,156537,4406,4159,30675,34432,1203057,1177331,258192,286374,24500,26131,151801,171682,7910,7959,440289,412843,390480,362776,19533,21330,13668,11958,4156,4294,1741,1465,10711,11020,399992,372480,24143,26423,18818,17113,6810,6985,2670,2395
R,8,2022,45,4050323,2023652,2026671,1548059,1499228,261917,291597,27927,26224,140082,159943,5990,5639,39677,44040,1582229,1536806,275919,308409,42934,42707,155779,177260,10352,10344,1590746,1615211,1163583,1136479,243275,270688,14472,14747,135821,155755,4247,4139,29348,33403,1188552,1164725,252739,282604,24568,26272,148969,170379,7673,7888,432906,411460,384476,362749,18642,20909,13455,11477,4261,4188,1743,1500,10329,10637,393677,372081,23180,25805,18366,16435,6810,6881,2679,2456
R,8,2022,46,3902246,1948878,1953368,1487965,1445770,250114,277952,26824,25112,140440,158085,5591,5319,37944,41130,1520648,1480782,263071,293423,41294,40717,155644,174377,9851,9681,1528367,1550786,1113944,1090057,232160,257846,13766,13827,136420,153953,4033,3904,28044,31199,1137817,1116349,240811,268765,23463,24761,149249,167747,7400,7415,420511,402582,374021,355713,17954,20106,13058,11285,4020,4132,1558,1415,9900,9931,382831,364433,22260,24658,17831,15956,6395,6630,2451,2266
R,8,2022,47,3936311,1964925,1971386,1504512,1462725,250725,280045,26365,25197,142105,158770,5664,5117,35554,39532,1534824,1496328,262877,294616,40232,40340,156309,174529,9635,9240,1549811,1573301,1133622,1109612,233711,260903,13528,14027,138150,154804,4121,3787,26679,30168,1156095,1134993,242060,271162,23008,24689,150248,168290,7309,7098,415114,398085,370890,353113,17014,19142,12837,11170,3955,3966,1543,1330,8875,9364,378729,361335,20817,23454,17224,15651,6061,6239,2326,2142
R,8,2022,48,3869971,1929586,1940385,1478759,1441523,244730,274629,25999,24497,140711,156871,5281,5038,34106,37827,1507809,1473501,256196,288497,39481,39246,154355,171875,9141,9051,1528510,1552112,1119477,1095926,228725,256399,13407,13777,137112,153105,3892,3744,25897,29161,1141308,1120293,236672,266351,22767,24352,148842,166021,7025,6989,401076,388273,359282,345597,16005,18230,12592,10720,3599,3766,1389,1294,8209,8666,366501,353208,19524,22146,16714,14894,5513,5854,2116,2062
R,8,2022,49,3906058,1945255,1960803,1491061,1456961,249490,280294,25523,24708,140284,156761,5185,4958,33712,37121,1519691,1488264,260495,293739,38978,39431,153919,171544,8958,8856,1553441,1578967,1139708,1116917,233952,262472,13425,14026,136756,153022,3852,3715,25748,28815,1161329,1140938,241565,272176,22878,24774,148562,165774,6920,6878,391814,381836,351353,340044,15538,17822,12098,10682,3528,3739,1333,1243,7964,8306,358362,347326,18930,21563,16100,14657,5357,5770,2038,1978
R,8,2022,50,4082462,2036440,2046022,1572272,1532596,259317,289820,26093,24804,140031,156704,5164,4909,33563,37189,1600655,1563949,270068,302949,39992,40046,153358,171276,8939,8877,1646786,1666748,1222549,1194353,244035,272320,13995,14317,136424,153081,3852,3664,25931,29013,1244206,1218529,251623,281814,24022,25520,147979,165755,6920,6920,389654,379274,349723,338243,15282,17500,12098,10487,3607,3623,1312,1245,7632,8176,356449,345420,18445,21135,15970,14526,5379,5521,2019,1957
R,8,2022,51,4327015,2163229,2163786,1689822,1640200,269991,302496,26511,25663,137110,152428,5203,4990,34592,38009,1719165,1672252,280933,315780,41167,41611,150619,166964,9178,9193,1775013,1786979,1341315,1304475,254756,285049,14693,14960,133457,148830,3864,3763,26928,29902,1363928,1329437,262471,294721,25438,26963,145186,161406,7123,7229,388216,376807,348507,335725,15235,17447,11818,10703,3653,3598,1339,1227,7664,8107,355237,342815,18462,21059,15729,14648,5433,5558,2055,1964
R,8,2022,52,4297013,2147619,2149394,1682514,1637190,266154,295077,26166,25049,133999,150258,5210,5078,33576,36742,1710897,1667931,276774,307802,40618,40860,146814,164300,9200,9253,1768036,1786065,1342101,1313271,251096,278413,14359,14931,130481,146652,3916,3873,26083,28925,1363886,1337230,258622,287754,24972,26830,141536,158712,7214,7324,379583,363329,340413,323919,15058,16664,11807,10118,3518,3606,1294,1205,7493,7817,347011,330701,18152,20048,15646,14030,5278,5588,1986,1929
R,8,2022,53,4125715,2058107,2067608,1620638,1584271,249080,277698,24951,23930,127312,143018,4876,4840,31250,33851,1647156,1612666,258543,289014,38835,39019,139202,155727,8479,8618,1699730,1722955,1298798,1276750,234991,261952,14031,14309,124065,139639,3694,3684,24151,26621,1319083,1298871,241495,270092,24250,25740,134351,150631,6650,6800,358377,344653,321840,307521,14089,15746,10920,9621,3247,3379,1182,1156,7099,7230,328073,313795,17048,18922,14585,13279,4851,5096,1829,1818
R,8,2022,54,4028361,2006414,2021947,1578743,1547008,247857,277116,24281,23320,121695,137748,4629,4659,29209,32096,1603319,1573695,256617,287794,37554,37836,132760,149678,8035,8485,1659023,1687426,1266823,1248077,233897,261749,13574,14211,118650,134623,3469,3540,22610,25226,1285592,1268789,239919,269415,23458,25292,128219,144943,6301,6728,347391,334521,311920,298931,13960,15367,10707,9109,3045,3125,1160,1119,6599,6870,317727,304906,16698,18379,14096,12544,4541,4735,1734,1757
R,8,2022,55,4031453,2000026,2031427,1585311,1567514,245702,277500,23577,23316,112622,127361,4671,4599,28143,31137,1608997,1593426,254012,288068,36714,37747,123030,138432,8013,8236,1666941,1707280,1285730,1277848,232492,262513,13604,14541,109653,124392,3540,3512,21922,24474,1303949,1297964,238206,270107,23470,25587,118666,133935,6364,6567,333085,324147,299581,289666,13210,14987,9973,8775,2969,2969,1131,1087,6221,6663,305048,295462,15806,17961,13244,12160,4364,4497,1649,1669
R,8,2022,56,4078727,2019731,2058996,1598346,1588020,252435,284975,23784,23514,112870,127190,4563,4572,27733,30725,1621400,1613515,260691,295109,37043,38161,122908,138096,7956,8204,1692203,1740334,1304072,1303301,239061,270306,13883,14852,110030,124164,3500,3562,21657,24149,1321811,1323104,244713,277544,24039,26162,118678,133515,6353,6581,327528,318662,294274,284719,13374,14669,9901,8662,2840,3026,1063,1010,6076,6576,299589,290411,15978,17565,13004,11999,4230,4581,1603,1623
R,8,2022,57,4235838,2087837,2148001,1659702,1666062,258428,293757,24292,24395,112588,127577,4704,4701,28123,31509,1683205,1692130,266541,304037,37978,39690,122710,138526,8138,8451,1765014,1831149,1369600,1382916,245380,279112,14602,15832,109739,124604,3666,3695,22027,24990,1387756,1403332,250981,286539,25023,27833,118528,134036,6539,6838,322823,316852,290102,283146,13048,14645,9690,8563,2849,2973,1038,1006,6096,6519,295449,288798,15560,17498,12955,11857,4182,4490,1599,1613
R,8,2022,58,4344417,2136999,2207418,1709817,1723403,257396,293705,24216,24573,112967,129710,4451,4603,28152,31424,1733260,1749371,265309,303459,38343,40349,122963,140629,7916,8343,1828048,1899018,1432326,1447832,244712,279376,14907,16068,110286,126941,3479,3624,22338,25177,1450707,1468356,250241,286437,25933,28685,118973,136409,6386,6784,308951,308400,277491,275571,12684,14329,9309,8505,2681,2769,972,979,5814,6247,282553,281015,15068,17022,12410,11664,3990,4220,1530,1559
R,8,2022,59,4348983,2133597,2215386,1711520,1736417,252479,289364,23813,24103,113793,129827,4252,4496,27740,31179,1734673,1762084,260055,299110,37819,39908,123653,140421,7568,8189,1839445,1918851,1447165,1471509,240507,275846,14955,15920,111170,127031,3343,3570,22305,24975,1465598,1491811,245832,282905,26057,28567,119818,136179,6181,6678,294152,296535,264355,264908,11972,13518,8858,8183,2623,2796,909,926,5435,6204,269075,270273,14223,16205,11762,11341,3835,4242,1387,1511
R,8,2022,60,4357272,2133537,2223735,1724102,1756714,248815,287309,23245,24023,105627,120516,4373,4475,27375,30698,1747051,1781920,256079,296888,37135,39907,115354,130850,7742,8123,1850099,1937863,1469099,1501016,237389,274628,14790,16035,103181,117858,3510,3569,22130,24757,1487475,1521122,242500,281578,25919,28881,111703,126817,6379,6625,283438,285872,255003,255698,11426,12681,8455,7988,2446,2658,863,906,5245,5941,259576,260798,13579,15310,11216,11026,3651,4033,1363,1498
R,8,2022,61,4346992,2123242,2223750,1726017,1765380,243826,283788,22503,23728,99833,116784,4137,4199,26926,29871,1748499,1789893,250905,292862,36461,39535,109342,126739,7378,7757,1856536,1951768,1486273,1522059,233095,271517,14522,16334,97462,114230,3326,3386,21858,24242,1504314,1541719,238131,278188,25760,29215,105803,122861,6077,6377,266706,271982,239744,243321,10731,12271,7981,7394,2371,2554,811,813,5068,5629,244185,248174,12774,14674,10701,10320,3539,3878,1301,1380
R,8,2022,62,4282050,2087625,2194425,1689538,1734658,242906,282480,22257,23401,102332,120398,4142,4152,26450,29336,1711717,1758632,249821,291573,35993,38899,111625,130115,7304,7620,1826769,1928421,1455168,1496728,232340,270517,14382,16159,100018,117871,3335,3360,21526,23786,1473044,1515914,237259,277216,25473,28788,108211,126270,6005,6290,260856,266004,234370,237930,10566,11963,7875,7242,2314,2527,807,792,4924,5550,238673,242718,12562,14357,10520,10111,3414,3845,1299,1330
R,8,2022,63,4188513,2032890,2155623,1655242,1714328,231923,273411,20778,22155,96116,114135,3846,3850,24985,27744,1676118,1737185,238318,281696,34000,37241,104879,123122,6735,7000,1794464,1908126,1440891,1492835,222229,262203,13713,15376,93993,111818,3129,3154,20509,22740,1457908,1511377,226820,268329,24512,27839,101715,119671,5580,5847,238426,247497,214351,221493,9694,11208,7065,6779,2123,2317,717,696,4476,5004,218210,225808,11498,13367,9488,9402,3164,3451,1155,1153
R,8,2022,64,4137421,2001137,2136284,1635616,1706802,222101,263438,19645,21414,96122,114177,3619,3761,24034,26692,1655646,1728647,228280,271458,32528,36052,104421,122800,6387,6748,1779114,1901164,1436211,1496210,212811,252754,13191,15119,94152,112081,2954,3069,19795,21931,1452562,1513981,217247,258719,23816,27221,101516,119592,5304,5629,222023,235120,199405,210592,9290,10684,6454,6295,1970,2096,665,692,4239,4761,203084,214666,11033,12739,8712,8831,2905,3208,1083,1119
R,8,2022,65,4069676,1959585,2110091,1606586,1689326,214669,260101,19337,20738,92369,110502,3487,3562,23137,25862,1625835,1710584,220680,267803,31963,35396,100166,118395,6138,6510,1747557,1882798,1416150,1485609,205931,249801,12901,14684,90518,108529,2882,2903,19175,21272,1431954,1502892,210309,255510,23363,26921,97490,115380,5168,5408,212028,227293,190436,203717,8738,10300,6436,6054,1851,1973,605,659,3962,4590,193881,207692,10371,12293,8600,8475,2676,3015,970,1102
R,8,2022,66,3892558,1862439,2030119,1528659,1624526,201212,248217,17949,19892,89687,109233,3179,3415,21753,24836,1546834,1644893,206774,255591,29822,33975,96936,116923,5705,6182,1664252,1813983,1350755,1430881,192998,238436,11992,14240,87922,107182,2610,2854,17975,20390,1365639,1447420,196973,243853,21813,26002,94362,113854,4783,5199,198187,216136,177904,193645,8214,9781,5957,5652,1765,2051,569,561,3778,4446,181195,197473,9801,11738,8009,7973,2574,3069,922,983
R,8,2022,67,3786552,1803035,1983517,1485196,1593264,189983,236708,17045,18742,87066,108043,3020,3339,20725,23421,1502369,1612376,195281,243693,28542,31903,93941,115359,5453,6013,1615202,1775932,1316026,1406513,182256,227683,11645,13501,85427,106183,2515,2756,17333,19296,1330264,1422032,186128,232853,21308,24501,91570,112592,4618,5053,187833,207585,169170,186751,7727,9025,5400,5241,1639,1860,505,583,3392,4125,172105,190344,9153,10840,7234,7402,2371,2767,835,960
R,8,2022,68,3651253,1729048,1922205,1433546,1552623,175694,224632,15668,17594,82293,102352,2767,3120,19080,21884,1449506,1570452,180488,231091,26496,30217,88463,108914,4866,5651,1557978,1729500,1279215,1378895,168543,216398,10923,12850,80898,100620,2320,2572,16079,18165,1292558,1393500,172055,221207,20145,23503,86405,106397,4164,4772,171070,192705,154331,173728,7151,8234,4745,4744,1395,1732,447,548,3001,3719,156948,176952,8433,9884,6351,6714,2058,2517,702,879
R,8,2022,69,3489314,1644208,1845106,1370825,1499063,160496,209156,14503,16279,78028,97154,2642,2866,17714,20588,1385607,1515928,164806,215096,24583,28215,83770,103407,4649,5226,1487235,1665500,1229187,1336858,154025,201435,10161,11974,76678,95621,2239,2399,14945,17213,1241571,1350780,157161,205920,18754,22113,81820,101118,3993,4455,156973,179606,141638,162205,6471,7721,4342,4305,1350,1533,403,467,2769,3375,144036,165148,7645,9176,5829,6102,1950,2289,656,771
R,8,2022,70,3357772,1576808,1780964,1321484,1451726,149243,198769,13238,15257,74071,93656,2497,2749,16275,18807,1335032,1467167,153254,204122,22625,26400,79231,99162,4416,4914,1431759,1613507,1190228,1300390,143376,191542,9413,11270,72822,92195,2132,2323,13788,15787,1201609,1313192,146346,195596,17434,20811,77458,97037,3802,4188,145049,167457,131256,151336,5867,7227,3825,3987,1249,1461,365,426,2487,3020,133423,153975,6908,8526,5191,5589,1773,2125,614,726
R,8,2022,71,3180898,1483603,1697295,1243839,1382012,141772,192160,12535,14440,67974,88414,2234,2486,15249,17783,1256520,1396553,145514,197369,21552,25079,72656,93469,4007,4521,1347062,1538543,1120070,1238632,136268,185338,9018,10598,66844,86971,1922,2103,12940,14901,1130744,1250648,139051,189303,16758,19713,71033,91387,3490,3863,136541,158752,123769,143380,5504,6822,3517,3842,1130,1443,312,383,2309,2882,125776,145905,6463,8066,4794,5366,1623,2082,517,658
R,8,2022,72,3019524,1402272,1617252,1169834,1312187,134025,181998,11972,13631,69577,90049,2245,2409,14619,16978,1181979,1325975,137651,186995,20640,23638,74051,95084,3940,4401,1275111,1465220,1054724,1174713,128800,175359,8706,10153,68531,88702,1889,2057,12461,14236,1065008,1186141,131538,179139,16148,18738,72530,93086,3404,3784,127161,152032,115110,137474,5225,6639,3266,3478,1046,1347,356,352,2158,2742,116971,139834,6113,7856,4492,4900,1521,1998,536,617
R,8,2022,73,2926090,1354442,1571648,1140423,1288103,122506,169256,11193,12743,64695,83262,2159,2354,13466,15930,1151638,1301182,125715,173847,19256,22366,68781,87702,3748,4145,1237641,1431180,1034468,1160697,117876,163313,8196,9557,63712,82106,1843,2005,11546,13502,1044027,1171682,120296,166826,15219,17936,67352,86002,3231,3566,116801,140468,105955,127406,4630,5943,2997,3186,983,1156,316,349,1920,2428,107611,129500,5419,7021,4037,4430,1429,1700,517,579
R,8,2022,74,2846322,1315696,1530626,1116170,1265382,113604,158571,10347,11999,60971,77300,1926,2168,12678,15206,1126748,1277953,116684,162807,17987,21200,64707,81550,3391,3890,1206005,1397277,1016542,1144353,109236,153051,7670,9044,60084,76163,1644,1850,10829,12816,1025494,1154824,111585,156264,14288,17003,63410,79886,2951,3355,109691,133349,99628,121029,4368,5520,2677,2955,887,1137,282,318,1849,2390,101254,123129,5099,6543,3699,4197,1297,1664,440,535
R,8,2022,75,2979967,1383760,1596207,1193647,1345398,107728,149649,10460,11605,57327,72481,1826,1910,12772,15164,1204405,1358055,110718,153862,18420,21018,60858,76527,3281,3538,1278964,1467844,1098180,1228522,103797,144439,7830,8887,56528,71393,1574,1631,11055,12972,1107452,1239249,106098,147710,14871,17132,59641,74968,2859,3080,104796,128363,95467,116876,3931,5210,2630,2718,799,1088,252,279,1717,2192,96953,118806,4620,6152,3549,3886,1217,1559,422,458
R,8,2022,76,2154594,983934,1170660,836378,970442,80905,117262,7772,9112,47627,60406,1597,1674,9655,11764,844498,980172,83195,120498,13529,16028,50499,63843,2770,3069,897822,1060534,758019,870380,77506,112542,5664,6827,46979,59494,1387,1443,8267,9848,764946,878442,79207,114958,10693,12742,49539,62497,2416,2682,86112,110126,78359,100062,3399,4720,2108,2285,648,912,210,231,1388,1916,79552,101730,3988,5540,2836,3286,960,1346,354,387
R,8,2022,77,1993741,900674,1093067,765004,905699,74884,110775,7064,8491,43476,55676,1353,1554,8893,10872,772470,914704,76985,113762,12369,14915,46088,58809,2484,2848,822386,992080,693695,813634,71911,106656,5203,6408,42830,54853,1159,1332,7588,9197,700007,821189,73479,108908,9810,11968,45154,57601,2163,2470,78288,100987,71309,92065,2973,4119,1861,2083,646,823,194,222,1305,1675,72463,93515,3506,4854,2559,2947,934,1208,321,378
R,8,2022,78,1919908,860946,1058962,736270,885135,68463,102776,6498,7839,40372,51458,1230,1389,8113,10365,743097,893724,70314,105682,11370,14071,42745,54327,2255,2633,791010,965365,672453,799666,65711,99113,4855,5920,39871,50672,1079,1198,7041,8796,678340,806896,67137,101336,9177,11338,41992,53193,1996,2301,69936,93597,63817,85469,2752,3663,1643,1919,501,786,151,191,1072,1569,64757,86828,3177,4346,2193,2733,753,1134,259,332
R,8,2022,79,1924953,856855,1068098,741158,903774,64117,99463,5959,7417,36931,46308,1090,1240,7600,9896,747599,912044,65840,102151,10658,13463,39004,48957,2021,2381,792242,979137,682091,822704,61609,95780,4564,5596,36417,45625,964,1063,6597,8369,687686,829656,62915,97771,8754,10877,38242,47925,1784,2080,64613,88961,59067,81070,2508,3683,1395,1821,514,683,126,177,1003,1527,59913,82388,2925,4380,1904,2586,762,1032,237,301
R,8,2022,80,1637045,720394,916651,617889,769016,55418,87196,5231,6485,34240,44355,926,1137,6690,8462,623490,776070,56968,89472,9345,11642,36147,46672,1713,2075,663495,837663,565854,696691,53199,84150,4016,4899,33816,43735,803,949,5807,7239,570692,702674,54396,85891,7661,9419,35516,45780,1499,1793,56899,78988,52035,72325,2219,3046,1215,1586,424,620,123,188,883,1223,52798,73396,2572,3581,1684,2223,631,892,214,282
R,8,2022,81,1445179,627732,817447,536859,683605,48681,79579,4686,5813,30794,39770,857,968,5855,7712,541803,690023,49998,81651,8242,10497,32506,41933,1559,1857,576289,745137,489795,617313,46698,76769,3587,4478,30408,39203,758,817,5043,6557,494034,622744,47679,78348,6725,8560,31924,41084,1377,1599,51443,72310,47064,66292,1983,2810,1099,1335,386,567,99,151,812,1155,47769,67279,2319,3303,1517,1937,582,849,182,258
R,8,2022,82,1301505,557115,744390,473560,619675,44198,73898,4252,5394,28930,37395,800,976,5375,7052,478065,625543,45429,75839,7436,9613,30579,39356,1449,1794,509600,676365,430101,557418,42391,71178,3216,4120,28540,36868,692,798,4660,5983,433998,562352,43329,72651,6019,7782,30015,38589,1273,1519,47515,68025,43459,62257,1807,2720,1036,1274,390,527,108,178,715,1069,44067,63191,2100,3188,1417,1831,564,767,176,275
R,8,2022,83,1180948,500416,680532,427479,570197,38465,65291,3577,4740,25644,33113,637,883,4614,6308,431388,575446,39530,66971,6318,8500,27015,34907,1192,1651,457842,618548,388493,513344,36785,62824,2699,3632,25331,32634,549,756,3985,5358,391844,517797,37591,64076,5111,6907,26555,34196,1053,1415,42574,61984,38986,56853,1680,2467,878,1108,313,479,88,127,629,950,39544,57649,1939,2895,1207,1593,460,711,139,236
R,8,2022,84,1084109,451699,632410,386312,530423,34086,60389,3236,4474,23237,30690,605,798,4223,5636,389873,535116,35053,61932,5758,7757,24503,32318,1086,1462,413419,575116,351156,477952,32660,58067,2494,3429,22944,30265,514,648,3651,4755,354219,481883,33388,59231,4722,6280,24077,31680,935,1223,38280,57294,35156,52471,1426,2322,742,1045,293,425,91,150,572,881,35654,53233,1665,2701,1036,1477,426,638,151,239
R,8,2022,85,947624,388335,559289,331409,468228,29509,53659,2764,3847,20469,27728,529,706,3655,5121,334541,472509,30352,55051,4910,6813,21596,29208,935,1327,354593,507957,300433,421148,28211,51633,2106,2915,20222,27308,456,589,3165,4364,303135,424767,28840,52693,4012,5507,21228,28612,815,1136,33742,51332,30976,47080,1298,2026,658,932,247,420,73,117,490,757,31406,47742,1512,2358,898,1306,368,596,120,191
R,8,2022,86,848854,342129,506725,291836,423865,26203,49251,2421,3477,18028,25003,451,602,3190,4527,294517,427626,26933,50511,4253,6150,19034,26282,848,1101,312020,460288,264130,381184,25041,47457,1863,2643,17815,24661,392,511,2779,3832,266463,384347,25590,48411,3489,4956,18721,25779,743,951,30109,46437,27706,42681,1162,1794,558,834,213,342,59,91,411,695,28054,43279,1343,2100,764,1194,313,503,105,150
R,8,2022,87,741068,288554,452514,246882,379520,21632,43316,2003,3035,15023,22095,377,524,2637,4024,249069,382835,22270,44414,3506,5388,15863,23234,723,994,263025,411227,223335,341552,20692,41733,1542,2307,14841,21790,329,433,2286,3412,225224,344347,21176,42576,2874,4355,15593,22773,633,842,25529,41287,23547,37968,940,1583,461,728,182,305,48,91,351,612,23845,38488,1094,1838,632,1033,270,461,90,152
R,8,2022,88,637086,242282,394804,207385,331916,17946,37392,1631,2568,12781,19014,327,441,2212,3473,209270,334825,18448,38362,2888,4555,13469,20064,608,833,221046,359407,187745,299306,17213,36054,1239,1933,12635,18747,283,377,1931,2990,189384,301800,17602,36801,2359,3674,13244,19669,536,726,21236,35397,19640,32610,733,1338,392,635,146,267,44,64,281,483,19886,33025,846,1561,529,881,225,395,72,107
R,8,2022,89,543950,202398,341552,173511,287128,14559,31736,1385,2182,10767,17096,283,398,1893,3012,175142,289643,14981,32523,2450,3913,11378,18005,502,764,184703,310984,157143,258883,13943,30610,1065,1661,10650,16876,247,346,1655,2608,158569,261050,14269,31224,2020,3190,11190,17696,441,669,17695,30568,16368,28245,616,1126,320,521,117,220,36,52,238,404,16573,28593,712,1299,430,723,188,309,61,95
R,8,2022,90,470167,169479,300688,144808,251937,12347,28324,1136,1917,9337,15480,254,350,1597,2680,146153,254169,12715,29080,2018,3438,9870,16258,471,696,154743,273859,131162,227204,11835,27308,866,1463,9231,15270,223,303,1426,2311,132364,229118,12138,27906,1657,2814,9720,15945,417,604,14736,26829,13646,24733,512,1016,270,454,106,210,31,47,171,369,13789,25051,577,1174,361,624,150,313,54,92
R,8,2022,91,403307,142654,260653,122941,220502,9676,23182,909,1565,7675,12924,192,269,1261,2211,124020,222333,9974,23797,1604,2850,8092,13554,352,536,130195,237990,111343,199533,9289,22347,693,1190,7591,12782,167,240,1112,1898,112294,201091,9525,22830,1315,2317,7963,13339,307,476,12459,22663,11598,20969,387,835,216,375,84,142,25,29,149,313,11726,21242,449,967,289,533,129,215,45,60
R,8,2022,92,352261,120930,231331,104181,195702,7952,19862,762,1398,6740,12100,171,260,1124,2009,105134,197395,8208,20403,1375,2550,7120,12682,322,510,110273,211049,94237,176876,7629,19183,574,1056,6683,11972,158,226,992,1736,95075,178328,7837,19603,1114,2076,7030,12489,295,448,10657,20282,9944,18826,323,679,188,342,57,128,13,34,132,273,10059,19067,371,800,261,474,90,193,27,62
R,8,2022,93,290144,96771,193373,83199,163378,6288,16693,644,1103,5586,10335,148,223,906,1641,83962,164740,6509,17156,1174,2041,5869,10798,253,435,88068,176608,75128,147796,6007,16132,488,842,5533,10228,132,194,780,1416,75789,148969,6177,16500,954,1665,5776,10635,220,373,8703,16765,8071,15582,281,561,156,261,53,107,16,29,126,225,8173,15771,332,656,220,376,93,163,33,62
R,8,2022,94,234008,75514,158494,64918,133873,4860,13627,519,905,4399,8523,100,182,718,1384,65526,135011,5033,14032,918,1685,4626,8932,200,360,68766,144948,58635,121321,4639,13144,404,682,4368,8439,87,159,633,1203,59167,122304,4782,13460,763,1378,4572,8803,171,318,6748,13546,6283,12552,221,483,115,223,31,84,13,23,85,181,6359,12707,251,572,155,307,54,129,29,42
R,8,2022,95,186669,58271,128398,49928,108388,3690,11030,369,736,3628,6962,74,147,582,1135,50423,109334,3820,11332,686,1397,3817,7296,155,298,53348,118030,45314,98777,3557,10663,292,569,3601,6894,66,129,518,998,45757,99601,3667,10906,577,1162,3773,7188,135,261,4923,10368,4614,9611,133,367,77,167,27,68,8,18,64,137,4666,9733,153,426,109,235,44,108,20,37
R,8,2022,96,144793,44025,100768,37468,84849,2878,8636,285,591,2866,5673,66,125,462,894,37853,85601,2992,8892,552,1106,3014,5909,128,236,40263,92656,33967,77332,2764,8351,226,460,2841,5620,60,109,405,784,34304,77988,2855,8560,463,924,2973,5833,113,205,3762,8112,3501,7517,114,285,59,131,25,53,6,16,57,110,3549,7613,137,332,89,182,41,76,15,31
R,8,2022,97,109617,31907,77710,26966,65006,2082,6754,222,445,2260,4674,33,89,344,742,27247,65620,2169,6981,415,864,2370,4872,79,179,29252,71606,24498,59372,2003,6525,175,345,2246,4629,29,79,301,656,24745,59916,2071,6712,345,725,2342,4804,68,155,2655,6104,2468,5634,79,229,47,100,14,45,4,10,43,86,2502,5704,98,269,70,139,28,68,11,24
R,8,2022,98,80641,22537,58104,18817,48441,1503,4991,148,350,1796,3712,35,74,238,536,19020,48886,1569,5153,277,660,1874,3864,68,141,20651,53697,17068,44355,1445,4835,113,280,1784,3685,32,68,209,474,17247,44749,1498,4969,227,557,1853,3821,59,126,1886,4407,1749,4086,58,156,35,70,12,27,3,6,29,62,1773,4137,71,184,50,103,21,43,9,15
R,8,2022,99,57957,15920,42037,13148,34838,1050,3663,123,251,1377,2794,21,60,201,431,13304,35193,1108,3799,229,502,1450,2901,56,118,14613,38914,11934,31952,1013,3548,102,202,1369,2776,19,53,176,383,12075,32266,1057,3660,196,432,1434,2870,46,107,1307,3123,1214,2886,37,115,21,49,8,18,2,7,25,48,1229,2927,51,139,33,70,16,31,10,11
R,8,2022,100,103912,26558,77354,20694,61667,1887,7324,210,495,3310,6837,53,135,404,896,21026,62385,2012,7634,425,993,3451,7080,116,269,24470,72032,18777,56770,1821,7121,175,421,3293,6799,47,127,357,794,19072,57402,1922,7387,367,867,3416,7016,100,242,2088,5322,1917,4897,66,203,35,74,17,38,6,8,47,102,1954,4983,90,247,58,126,35,64,16,27
