stateFIPS,state,census_region,census_division,COVIDDeathsUCD,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMeanUCD,ratioLowUCD,ratioMedUCD,ratioUpUCD,probPositiveNCExcessUCD,COVIDDeathsMCD,ratioMeanMCD,ratioLowMCD,ratioMedMCD,ratioUpMCD,probPositiveNCExcessMCD
01,Alabama,South,East South Central,19193,153287,0,126534.153,124183.8,126526,128789.5,26752.847,24497.5,26761,29103.2,1,0.21167953289856023,0.19021348935374216,0.21150593743087467,0.2343558499867,1.3938856353879019,1.2763768040431407,1.3943104256760277,1.5163445005991767,1,20935,1.277900501552424,1.1701695724862669,1.2782899450680678,1.390169572486267,0.998
02,Alaska,West,Pacific,1254,12194,0,9526.845,9307.9,9527.5,9749,2667.155,2445,2666.5,2886.1,1,0.28041613747511884,0.2507949533285465,0.27987405233100815,0.3100699419491426,2.1269178628389156,1.9497607655502391,2.126395534290271,2.3015151515151517,1,1427,1.8690644709180095,1.713384723195515,1.868605466012614,2.0224947442186405,1
04,Arizona,West,Mountain,25015,175623,0,136257.173,133730.7,136163.5,138841.7,39365.827,36781.3,39459.5,41892.3,1,0.2891718820186819,0.26491538068725295,0.2897949899645418,0.3132586609354059,1.573688866679992,1.4703697781331202,1.5774335398760742,1.6746871876873877,1,27666,1.4228955035061086,1.3294766138943108,1.4262813561772574,1.5142160052049447,1
05,Arkansas,South,West South Central,10097,89851,0,75591.547,74259.9,75579,76969,14259.453,12882,14272,15591.1,1,0.18887826096015323,0.16736608244877807,0.1888355230950396,0.20995315104742168,1.412246508864019,1.275824502327424,1.4134891551946125,1.5441319203723878,1,11600,1.2292631896551725,1.1105172413793103,1.230344827586207,1.344060344827586,0.988
06,California,West,Pacific,90558,744709,0,620191.365,609136.1,620108,631008.5,124517.635,113700.5,124601,135572.9,1,0.2010061616888147,0.1801885395170957,0.20093435337070317,0.2225658601833164,1.3750042514189802,1.2555544512908856,1.3759248216612558,1.4970836370061176,1,100102,1.24390756428443,1.1358464366346328,1.2447403648278756,1.3543475654832071,0.995
08,Colorado,West,Mountain,11440,104423,0,87938.501,86275.4,87946.5,89568.2,16484.499,14854.8,16476.5,18147.6,1,0.18770924502934533,0.16584904022505526,0.18734685295463943,0.21034501196698036,1.4409527097902095,1.2984965034965037,1.4402534965034963,1.5863286713286715,1,13586,1.2133445458560284,1.093390254673929,1.2127557780067717,1.3357573973207713,0.989
09,Connecticut,Northeast,New England,10093,81607,0,72334.217,70927,72316,73675.3,9272.783,7931.7,9291,10680,1,0.1284390489770715,0.10765751903524516,0.12847779191326955,0.1505773562397171,0.918734073119984,0.7858614881601109,0.9205389874170216,1.0581591201823046,0.21,11195,0.8282968289414917,0.7085037963376507,0.82992407324698525,0.9539973202322466,0.034
10,Delaware,South,South Atlantic,2659,25672,0,22014.749,21576.8,22012.5,22478.199999999997,3657.251,3193.8,3659.5,4095.2,1,0.1664284636069299,0.14208433140953322,0.16624645148189776,0.18979644895687656,1.3754234674689734,1.2011282437006394,1.3762692741632194,1.5401278676194057,0.997,3114,1.1744543994861911,1.025626204238921,1.1751766217084136,1.315093127809891,0.934
11,District of Columbia,South,South Atlantic,1475,12449,0,10702.494,10448.7,10698.5,10957.1,1746.506,1491.9,1750.5,2000.3,1,0.16358438625370145,0.13615829091014547,0.16362109124839788,0.19144009229699088,1.1840718644067796,1.0114576271186442,1.1867796610169492,1.3561355932203392,0.911,1747,0.999717229536348,0.8539782484258729,1.0020034344590727,1.1449914138523185,0.502
12,Florida,South,South Atlantic,64224,569774,0,488929.885,480357,489011,497834,80844.115,71940,80763,89417,1,0.16557808213433758,0.14450600148803586,0.1651558043515317,0.1861469702742409,1.2587835544344794,1.1201420029895368,1.2575205530642752,1.3922676880916791,0.992,73329,1.1024848968348129,0.9810579716074131,1.1013787178333263,1.219394782418961,0.87
13,Georgia,South,South Atlantic,30240,245533,0,199316.772,195684,199232.5,203070.5,46216.228,42462.5,46300.5,49849,1,0.23212604420751623,0.20910225765631377,0.23239431380553177,0.25474233969052146,1.528314417989418,1.4041832010582012,1.5311011904761904,1.6484457671957673,1,33713,1.3708726010737695,1.2595289650876516,1.3733722896212144,1.4786284222703407,1
15,Hawaii,West,Pacific,1418,29261,0,26347.896,25807.8,26368,26876,2913.104,2385,2893,3453.2000000000003,1,0.1108459354514942,0.08874088406012799,0.10971632281553398,0.13380450932728585,2.0543751763046543,1.6819464033850493,2.040197461212976,2.4352609308885755,1,1679,1.7350232281119715,1.4204883859440145,1.7230494341870162,2.0567004169148304,0.998
