year,month,COVIDDeathsUCD,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMeanUCD,ratioLowUCD,ratioMedUCD,ratioUpUCD,probPositiveNCExcessUCD,COVIDDeathsMCD,ratioMeanMCD,ratioLowMCD,ratioMedMCD,ratioUpMCD,probPositiveNCExcessMCD
2020,3,6750,247204,0,235666.835,226745.9,235564.5,245624.25,11537.165,1579.7500000000002,11639.5,20458.1,0.974,0.0495834022553535,0.00643157752442478,0.04941110062356818,0.09022478514737715,1.7092096296296295,0.23403703703703704,1.7243703703703703,3.03082962962963,0.803,7135,1.6169817799579538,0.22140854940434485,1.6313244569025929,2.8672880168185,0.784
2020,4,61824,300373,0,217589.908,208934.5,217513.5,226421.95,82783.092,73951.05,82859.5,91438.5,1,0.3812880348386822,0.3266072601466953,0.38093957422308145,0.4376419405731716,1.3390122282608696,1.1961544060559004,1.3402481237060042,1.4790130046583851,1,65344,1.266881305093046,1.131719056072478,1.268050624387855,1.39934041380999,1
2020,5,35186,255230,0,214681.955,205682.65,214677,223555.55,40548.045,31674.45,40553,49547.35,1,0.1896191927981712,0.14168492801036112,0.18890239778757337,0.24089221922239107,1.1523914340931052,0.9002003637810493,1.1525322571477292,1.408155232194623,0.852,38229,1.0606619320411206,0.8285450835752962,1.0607915456852126,1.296067121818515,0.671
2020,6,15767,225173,0,203235.223,195473.4,203071.5,211385.45,21937.777,13787.55,22101.5,29699.6,1,0.10858317746392612,0.06522468797823021,0.10883605090114344,0.15193678913389796,1.3913729308048457,0.8744561425762669,1.4017568338935753,1.8836557366651867,0.894,17959,1.2215478033298068,0.7677237039924272,1.2306642908847931,1.6537446405701874,0.779
2020,7,28174,252137,0,207049.698,199006.4,206901.5,215544.7,45087.302,36592.3,45235.5,53130.6,1,0.21849643488097295,0.16976664260602398,0.2186330210909651,0.2669793575377923,1.6003159650741818,1.2987967629729538,1.6055760630368423,1.8858025129552067,1,31010,1.4539600773943888,1.1800161238310225,1.45873911641406,1.7133376330216057,0.996
2020,8,26940,250816,0,206850.67,199102.55,206756.5,215305.2,43965.33,35510.8,44059.5,51713.45,1,0.21325736841833137,0.16493238504234653,0.213098501125201,0.25973274767950805,1.6319721603563475,1.318144023756496,1.635467706013363,1.9195786933927244,1,29806,1.4750496544319935,1.191397705160035,1.478209085419043,1.7350013420116752,0.994
2020,9,16806,232629,0,203016.531,195342,202735,211085.5,29612.469,21543.5,29894,37287,1,0.14650405773113545,0.10206054520469954,0.14745357250913496,0.19088061473093648,1.7620176722599072,1.281893371414971,1.7787694870879447,2.218671902891824,0.997,19099,1.5504722236766322,1.1279909942928952,1.565212838368501,1.9523011676003976,0.982
2020,10,22030,249161,0,216875.917,208429.7,216749,225621.4,32285.083,23539.6,32412,40731.3,1,0.14957271613599263,0.10433230261958971,0.1495370223056709,0.19541985229092643,1.4655053563322742,1.0685247389922832,1.4712664548343168,1.8489014979573308,0.966,24858,1.2987803926301391,0.9469627484109744,1.3038860728940382,1.6385590152063725,0.923
2020,11,47938,278558,0,216894.266,207811.95,217121.5,225575.2,61663.734,52982.8,61436.5,70746.04999999999,1,0.28511782011133097,0.23487865910496056,0.28295908068492026,0.3404330212978916,1.2863226250573658,1.1052359297425842,1.281582460678376,1.4757822604197088,0.99,53138,1.1604451428356355,0.9970793029470436,1.156168843388912,1.3313645602017388,0.944
2020,12,89397,342389,0,236417.89,227269.85,236176,245909.25,105971.11,96479.75,106213,115119.15,1,0.4491233000650516,0.3923388411297067,0.4497197089831735,0.5065306726907852,1.185398950747788,1.0792280501582827,1.188104746244281,1.2877294540085238,0.996,97934,1.0820665958706883,0.9851507137459922,1.0845365245981988,1.175476851757306,0.909
