year,month,COVIDDeaths,deaths,suppressed,expDeathsMean,expDeathsLow,expDeathsMed,expDeathsUp,excDeathsMean,excDeathsLow,excDeathsMed,excDeathsUp,probPositiveExcess,relExcDeathsMean,relExcDeathsLow,relExcDeathsMed,relExcDeathsUp,ratioMean,ratioLow,ratioMed,ratioUp,probPositiveNCExcess
2020,3,7135,247204,0,235666.835,226745.9,235564.5,245624.25,11537.165,1579.7500000000002,11639.5,20458.1,0.974,0.0495834022553535,0.006431577524424786,0.04941110062356818,0.09022478514737715,1.6169817799579538,0.22140854940434485,1.6313244569025929,2.8672880168185,0.784
2020,4,65344,300373,0,217589.908,208934.5,217513.5,226421.95,82783.092,73951.05,82859.5,91438.5,1,0.3812880348386822,0.3266072601466953,0.38093957422308145,0.43764194057317163,1.266881305093046,1.131719056072478,1.268050624387855,1.39934041380999,1
2020,5,38229,255230,0,214681.955,205682.65,214677,223555.55,40548.045,31674.45,40553,49547.35,1,0.1896191927981712,0.14168492801036112,0.18890239778757337,0.24089221922239107,1.0606619320411206,0.8285450835752962,1.0607915456852126,1.296067121818515,0.671
2020,6,17959,225173,0,203235.223,195473.40000000002,203071.5,211385.44999999998,21937.777,13787.55,22101.5,29699.6,1,0.10858317746392612,0.06522468797823021,0.10883605090114343,0.15193678913389796,1.2215478033298068,0.7677237039924272,1.2306642908847931,1.6537446405701874,0.779
2020,7,31010,252137,0,207049.698,199006.4,206901.5,215544.69999999998,45087.302,36592.299999999996,45235.5,53130.6,1,0.21849643488097298,0.16976664260602398,0.2186330210909651,0.2669793575377923,1.4539600773943888,1.1800161238310223,1.45873911641406,1.7133376330216057,0.996
2020,8,29806,250816,0,206850.67,199102.55000000002,206756.5,215305.2,43965.33,35510.8,44059.5,51713.45,1,0.21325736841833134,0.16493238504234653,0.213098501125201,0.25973274767950805,1.4750496544319935,1.191397705160035,1.478209085419043,1.7350013420116752,0.994
2020,9,19099,232629,0,203016.531,195342,202735,211085.5,29612.469,21543.5,29894,37287,1,0.14650405773113545,0.10206054520469954,0.14745357250913496,0.19088061473093648,1.5504722236766322,1.1279909942928952,1.565212838368501,1.9523011676003978,0.982
2020,10,24858,249161,0,216875.917,208429.69999999998,216749,225621.40000000002,32285.083,23539.6,32412,40731.299999999996,1,0.14957271613599263,0.10433230261958973,0.1495370223056709,0.19541985229092643,1.2987803926301391,0.9469627484109744,1.3038860728940382,1.6385590152063723,0.923
2020,11,53138,278558,0,216894.266,207811.94999999998,217121.5,225575.19999999998,61663.734,52982.8,61436.5,70746.04999999999,1,0.28511782011133097,0.23487865910496056,0.28295908068492026,0.3404330212978916,1.1604451428356355,0.9970793029470435,1.156168843388912,1.3313645602017388,0.944
2020,12,97934,342389,0,236417.89,227269.85,236176,245909.25,105971.11,96479.75,106213,115119.15000000001,1,0.4491233000650516,0.3923388411297067,0.4497197089831735,0.5065306726907852,1.0820665958706883,0.9851507137459922,1.0845365245981988,1.175476851757306,0.909
2021,1,105339,347459,0,252887.09,242506.1,252701.5,263903,94571.91,83556,94757.5,104952.9,1,0.374919101136763,0.31661633395267774,0.37497799071072985,0.432784577752617,0.8977862899780708,0.7932104918406289,0.8995481255755229,0.9963346908552388,0.046
2021,2,48458,259325,0,222043.056,212172.55000000002,221953.5,231815.75,37281.944,27509.25,37371.5,47152.450000000004,1,0.16874802484678578,0.11866860671868042,0.16837536786858054,0.222236335577645,0.7693661314953155,0.5676926410499814,0.771214247389492,0.97305811217961935,0.022
2021,3,23218,245088,0,236919.557,226779.1,236609.5,247507.25,8168.443,-2419.25,8478.5,18308.899999999998,0.909,0.035175175906864246,-0.009774459597593925,0.03583330543640227,0.08073451245439969,0.35181510035317426,-0.1041971746059092,0.3651692652252563,0.7885649065380308,0.005
2021,4,18747,230912,0,218639.435,209585.45,218682.5,227798.25,12272.565,3113.7500000000005,12229.5,21326.549999999996,0.982,0.056812406114784844,0.013668900119388596,0.055923543363584224,0.10175587694240987,0.6546415426468235,0.16609324158532032,0.652344375100016,1.137598015682509,0.128
2021,5,14933,231246,0,215833.943,206685.7,215740.5,224660.65,15412.057,6585.35,15505.5,24560.3,0.997,0.07208587066441186,0.02931243204707694,0.07187106779027945,0.11882921754749748,1.032080425902364,0.4409931025246099,1.0383379093283334,1.6446996584745195,0.533
2021,6,7986,217972,0,204602.204,195291.09999999998,204557,213646.4,13369.796,4325.6,13415,22680.9,0.99,0.06609548480697934,0.020246538273131304,0.06558075624727136,0.11613893356105377,1.6741542699724519,0.5416478837966442,1.6798146756824441,2.840082644628099,0.853
2021,7,11178,229835,0,208201.309,199366.45,208008.5,217316.94999999998,21633.691,12518.05,21826.5,30468.55,1,0.10466400189456808,0.057602732246353046,0.10493080863314236,0.15282686747562738,1.9353811952048667,1.119882805510825,1.9526301663982824,2.725760422258007,0.965
2021,8,48693,275785,0,207612.775,198898.95,207410,216493.5,68172.225,59291.5,68375,76886.05,1,0.3292525365941054,0.2738719649851585,0.3296610630317862,0.3865583531573885,1.4000415870864396,1.217659622533013,1.4042059433594152,1.5789959542439365,1
2021,9,63301,285190,0,203873.662,195569.3,203703,212899.25,81316.338,72290.75,81487,89620.7,1,0.39974870000117413,0.3395538058734021,0.4000284761996097,0.45825546274095247,1.284598000031595,1.1420159239190535,1.287294039588632,1.4157864804663431,1
2021,10,42519,272932,0,217935.307,208858.75,218016.5,226580.59999999998,54996.693,46351.4,54915.5,64073.25,1,0.2531504155859916,0.20456917964542903,0.2518868999502186,0.3067779070102038,1.2934615818810413,1.0901338225264001,1.2915520120416755,1.5069321950186976,0.985
2021,11,32266,263136,0,218008.228,208837.84999999998,217951,227827,45127.772,35309,45185,54298.15,1,0.20781528084041906,0.15498163079880786,0.20731724674979451,0.26000148215467794,1.3986168722494265,1.094309799789252,1.4003905039360318,1.68282867414616,0.988
2021,12,45555,293214,0,237577.558,228389.15,237454,248199.35,55636.442,45014.649999999994,55760,64824.85,1,0.23496235821548364,0.18136490083210427,0.2348244292401942,0.2838350686850537,1.2213026451542093,0.9881385138843157,1.224014927011305,1.4230018658764132,0.943
2022,1,83686,342806,0,254282.081,243252.69999999998,254421.5,265685.3,88523.919,77120.70000000001,88384.5,99553.29999999999,1,0.3490945303510076,0.2902708765396906,0.34739399031623597,0.4092587716354391,1.0578103744951366,0.9215484071409793,1.0561443969122672,1.1896051908323975,0.773
2022,2,50064,265420,0,223463.044,213930.19999999998,223550.5,232746.49999999997,41956.956,32673.5,41869.5,51489.799999999996,1,0.18856303210596256,0.14038237619732752,0.18729326686151865,0.2406850461997721,0.8380663950143816,0.652634627676574,0.8363195110258869,1.0284795461808884,0.073
2022,3,15554,242132,0,238153.815,228012.4,238070.5,248451.90000000002,3978.185,-6319.9,4061.5,14119.599999999995,0.74,0.0174298128460472,-0.025437114279861634,0.017060072653691243,0.061924707371802244,0.25576604088980326,-0.40631991770605624,0.2611225408255111,0.9077793493635076,0.026
2022,4,6239,221398,0,219963.451,210431.09999999998,220023,229799.25,1434.549,-8401.25,1375,10966.899999999998,0.617,0.007246485393571987,-0.03655908309337983,0.006249347407506359,0.05211634755030497,0.22993252123737778,-1.3465699631351178,0.22038788267350537,1.7577977239942295,0.21
2022,5,7598,228584,0,217187.593,207672.35,216959.5,226721.65,11396.407,1862.3500000000001,11624.5,20911.649999999998,0.975,0.053221661517945953,0.008214257596025133,0.053579125160090404,0.10069539850899449,1.4999219531455645,0.24511055540931823,1.5299420900236904,2.7522571729402476,0.743
2022,6,9471,222156,0,205750.587,196834.05,205673,215661.5,16405.413,6494.5,16483,25321.949999999997,0.996,0.08058225953810963,0.030114325306533588,0.08014177847968253,0.1286461917963797,1.7321732657586315,0.6857248442614297,1.7403653257311793,2.673630028508077,0.885
2022,7,13287,232908,0,209442.094,200050.15000000002,209368,218434.3,23465.906,14473.7,23540,32857.85,1,0.11286411075719713,0.0662611144711447,0.1124336103551275,0.16424807780526912,1.7660800782719952,1.0893128621961317,1.7716565063595997,2.4729321893580183,0.964
2022,8,13976,233130,0,209111.98,199862.65,208889,218424.75,24018.02,14705.250000000002,24241,33267.35,1,0.11566555178119643,0.06732411536769596,0.11604727995153435,0.16645106127693085,1.7185188895248997,1.0521787349742415,1.7344733829421866,2.3803198340011447,0.961
